dd,mm,yy,occurrence
1,1,1964,45
2,1,1964,28
3,1,1964,14
4,1,1964,16
5,1,1964,18
6,1,1964,20
7,1,1964,8
8,1,1964,14
9,1,1964,18
10,1,1964,17
11,1,1964,9
12,1,1964,8
13,1,1964,21
14,1,1964,15
15,1,1964,20
16,1,1964,15
17,1,1964,18
18,1,1964,19
19,1,1964,18
20,1,1964,13
21,1,1964,19
22,1,1964,23
23,1,1964,13
24,1,1964,16
25,1,1964,15
26,1,1964,20
27,1,1964,10
28,1,1964,20
29,1,1964,11
30,1,1964,19
31,1,1964,14
1,2,1964,26
2,2,1964,24
3,2,1964,15
4,2,1964,11
5,2,1964,18
6,2,1964,16
7,2,1964,7
8,2,1964,18
9,2,1964,18
10,2,1964,11
11,2,1964,18
12,2,1964,15
13,2,1964,24
14,2,1964,19
15,2,1964,19
16,2,1964,14
17,2,1964,16
18,2,1964,10
19,2,1964,10
20,2,1964,16
21,2,1964,12
22,2,1964,14
23,2,1964,26
24,2,1964,16
25,2,1964,17
26,2,1964,21
27,2,1964,17
28,2,1964,14
29,2,1964,13
1,3,1964,17
2,3,1964,23
3,3,1964,24
4,3,1964,18
5,3,1964,23
6,3,1964,15
7,3,1964,15
8,3,1964,10
9,3,1964,18
10,3,1964,21
11,3,1964,13
12,3,1964,20
13,3,1964,21
14,3,1964,20
15,3,1964,19
16,3,1964,14
17,3,1964,21
18,3,1964,16
19,3,1964,15
20,3,1964,14
21,3,1964,17
22,3,1964,12
23,3,1964,18
24,3,1964,17
25,3,1964,18
26,3,1964,15
27,3,1964,14
28,3,1964,19
29,3,1964,21
30,3,1964,19
31,3,1964,19
1,4,1964,18
2,4,1964,17
3,4,1964,12
4,4,1964,15
5,4,1964,12
6,4,1964,24
7,4,1964,13
8,4,1964,16
9,4,1964,10
10,4,1964,19
11,4,1964,16
12,4,1964,14
13,4,1964,24
14,4,1964,15
15,4,1964,19
16,4,1964,17
17,4,1964,23
18,4,1964,14
19,4,1964,24
20,4,1964,17
21,4,1964,15
22,4,1964,25
23,4,1964,8
24,4,1964,20
25,4,1964,17
26,4,1964,12
27,4,1964,13
28,4,1964,19
29,4,1964,12
30,4,1964,20
1,5,1964,23
2,5,1964,10
3,5,1964,23
4,5,1964,10
5,5,1964,27
6,5,1964,8
7,5,1964,18
8,5,1964,19
9,5,1964,20
10,5,1964,17
11,5,1964,20
12,5,1964,22
13,5,1964,14
14,5,1964,16
15,5,1964,10
16,5,1964,14
17,5,1964,15
18,5,1964,11
19,5,1964,14
20,5,1964,14
21,5,1964,14
22,5,1964,20
23,5,1964,20
24,5,1964,13
25,5,1964,19
26,5,1964,20
27,5,1964,14
28,5,1964,15
29,5,1964,9
30,5,1964,16
31,5,1964,13
1,6,1964,16
2,6,1964,12
3,6,1964,10
4,6,1964,13
5,6,1964,16
6,6,1964,20
7,6,1964,12
8,6,1964,12
9,6,1964,14
10,6,1964,15
11,6,1964,18
12,6,1964,18
13,6,1964,12
14,6,1964,12
15,6,1964,15
16,6,1964,24
17,6,1964,19
18,6,1964,11
19,6,1964,11
20,6,1964,14
21,6,1964,17
22,6,1964,15
23,6,1964,16
24,6,1964,16
25,6,1964,12
26,6,1964,16
27,6,1964,16
28,6,1964,16
29,6,1964,16
30,6,1964,11
1,7,1964,14
2,7,1964,17
3,7,1964,10
4,7,1964,5
5,7,1964,19
6,7,1964,8
7,7,1964,17
8,7,1964,15
9,7,1964,18
10,7,1964,13
11,7,1964,17
12,7,1964,15
13,7,1964,11
14,7,1964,17
15,7,1964,17
16,7,1964,17
17,7,1964,13
18,7,1964,17
19,7,1964,19
20,7,1964,15
21,7,1964,20
22,7,1964,12
23,7,1964,17
24,7,1964,9
25,7,1964,19
26,7,1964,16
27,7,1964,15
28,7,1964,11
29,7,1964,18
30,7,1964,16
31,7,1964,17
1,8,1964,18
2,8,1964,14
3,8,1964,13
4,8,1964,18
5,8,1964,14
6,8,1964,16
7,8,1964,19
8,8,1964,14
9,8,1964,12
10,8,1964,16
11,8,1964,13
12,8,1964,24
13,8,1964,13
14,8,1964,7
15,8,1964,14
16,8,1964,16
17,8,1964,22
18,8,1964,7
19,8,1964,18
20,8,1964,15
21,8,1964,12
22,8,1964,9
23,8,1964,19
24,8,1964,13
25,8,1964,21
26,8,1964,13
27,8,1964,22
28,8,1964,20
29,8,1964,14
30,8,1964,6
31,8,1964,14
1,9,1964,17
2,9,1964,8
3,9,1964,11
4,9,1964,13
5,9,1964,14
6,9,1964,11
7,9,1964,11
8,9,1964,9
9,9,1964,17
10,9,1964,12
11,9,1964,17
12,9,1964,15
13,9,1964,22
14,9,1964,22
15,9,1964,21
16,9,1964,9
17,9,1964,13
18,9,1964,14
19,9,1964,16
20,9,1964,8
21,9,1964,13
22,9,1964,18
23,9,1964,16
24,9,1964,16
25,9,1964,12
26,9,1964,12
27,9,1964,16
28,9,1964,14
29,9,1964,21
30,9,1964,20
1,10,1964,18
2,10,1964,8
3,10,1964,12
4,10,1964,13
5,10,1964,8
6,10,1964,11
7,10,1964,14
8,10,1964,10
9,10,1964,7
10,10,1964,14
11,10,1964,10
12,10,1964,12
13,10,1964,16
14,10,1964,10
15,10,1964,21
16,10,1964,13
17,10,1964,15
18,10,1964,17
19,10,1964,16
20,10,1964,14
21,10,1964,14
22,10,1964,14
23,10,1964,12
24,10,1964,16
25,10,1964,13
26,10,1964,11
27,10,1964,18
28,10,1964,12
29,10,1964,14
30,10,1964,10
31,10,1964,11
1,11,1964,14
2,11,1964,11
3,11,1964,14
4,11,1964,16
5,11,1964,14
6,11,1964,20
7,11,1964,15
8,11,1964,10
9,11,1964,13
10,11,1964,20
11,11,1964,18
12,11,1964,19
13,11,1964,17
14,11,1964,6
15,11,1964,15
16,11,1964,12
17,11,1964,8
18,11,1964,10
19,11,1964,16
20,11,1964,16
21,11,1964,8
22,11,1964,14
23,11,1964,18
24,11,1964,17
25,11,1964,9
26,11,1964,17
27,11,1964,15
28,11,1964,11
29,11,1964,14
30,11,1964,13
1,12,1964,14
2,12,1964,19
3,12,1964,18
4,12,1964,15
5,12,1964,14
6,12,1964,11
7,12,1964,9
8,12,1964,18
9,12,1964,11
10,12,1964,21
11,12,1964,10
12,12,1964,20
13,12,1964,19
14,12,1964,17
15,12,1964,12
16,12,1964,13
17,12,1964,8
18,12,1964,16
19,12,1964,12
20,12,1964,16
21,12,1964,16
22,12,1964,17
23,12,1964,12
24,12,1964,18
25,12,1964,12
26,12,1964,19
27,12,1964,9
28,12,1964,10
29,12,1964,20
30,12,1964,15
31,12,1964,9
