dd,mm,yy,occurrence
1,1,1963,45
2,1,1963,20
3,1,1963,18
4,1,1963,16
5,1,1963,21
6,1,1963,17
7,1,1963,13
8,1,1963,21
9,1,1963,12
10,1,1963,24
11,1,1963,17
12,1,1963,16
13,1,1963,27
14,1,1963,13
15,1,1963,18
16,1,1963,21
17,1,1963,26
18,1,1963,16
19,1,1963,14
20,1,1963,22
21,1,1963,14
22,1,1963,23
23,1,1963,16
24,1,1963,11
25,1,1963,11
26,1,1963,18
27,1,1963,14
28,1,1963,20
29,1,1963,11
30,1,1963,19
31,1,1963,19
1,2,1963,21
2,2,1963,16
3,2,1963,17
4,2,1963,15
5,2,1963,14
6,2,1963,16
7,2,1963,16
8,2,1963,18
9,2,1963,11
10,2,1963,11
11,2,1963,16
12,2,1963,20
13,2,1963,18
14,2,1963,20
15,2,1963,14
16,2,1963,15
17,2,1963,22
18,2,1963,18
19,2,1963,17
20,2,1963,17
21,2,1963,11
22,2,1963,15
23,2,1963,16
24,2,1963,18
25,2,1963,14
26,2,1963,15
27,2,1963,18
28,2,1963,12
1,3,1963,20
2,3,1963,16
3,3,1963,25
4,3,1963,17
5,3,1963,11
6,3,1963,14
7,3,1963,14
8,3,1963,26
9,3,1963,14
10,3,1963,19
11,3,1963,16
12,3,1963,16
13,3,1963,11
14,3,1963,15
15,3,1963,24
16,3,1963,21
17,3,1963,16
18,3,1963,18
19,3,1963,13
20,3,1963,14
21,3,1963,20
22,3,1963,27
23,3,1963,11
24,3,1963,15
25,3,1963,16
26,3,1963,19
27,3,1963,18
28,3,1963,14
29,3,1963,18
30,3,1963,23
31,3,1963,20
1,4,1963,19
2,4,1963,14
3,4,1963,16
4,4,1963,14
5,4,1963,19
6,4,1963,17
7,4,1963,8
8,4,1963,15
9,4,1963,16
10,4,1963,20
11,4,1963,21
12,4,1963,21
13,4,1963,17
14,4,1963,18
15,4,1963,16
16,4,1963,17
17,4,1963,23
18,4,1963,21
19,4,1963,9
20,4,1963,17
21,4,1963,18
22,4,1963,15
23,4,1963,13
24,4,1963,10
25,4,1963,21
26,4,1963,19
27,4,1963,14
28,4,1963,17
29,4,1963,15
30,4,1963,19
1,5,1963,29
2,5,1963,16
3,5,1963,12
4,5,1963,17
5,5,1963,18
6,5,1963,9
7,5,1963,17
8,5,1963,12
9,5,1963,14
10,5,1963,18
11,5,1963,13
12,5,1963,25
13,5,1963,19
14,5,1963,18
15,5,1963,20
16,5,1963,12
17,5,1963,16
18,5,1963,14
19,5,1963,14
20,5,1963,18
21,5,1963,16
22,5,1963,20
23,5,1963,13
24,5,1963,9
25,5,1963,16
26,5,1963,19
27,5,1963,7
28,5,1963,11
29,5,1963,17
30,5,1963,30
31,5,1963,15
1,6,1963,21
2,6,1963,12
3,6,1963,13
4,6,1963,16
5,6,1963,17
6,6,1963,16
7,6,1963,15
8,6,1963,8
9,6,1963,15
10,6,1963,13
11,6,1963,15
12,6,1963,24
13,6,1963,23
14,6,1963,24
15,6,1963,10
16,6,1963,14
17,6,1963,11
18,6,1963,17
19,6,1963,14
20,6,1963,10
21,6,1963,19
22,6,1963,21
23,6,1963,17
24,6,1963,11
25,6,1963,21
26,6,1963,14
27,6,1963,8
28,6,1963,9
29,6,1963,19
30,6,1963,13
1,7,1963,26
2,7,1963,17
3,7,1963,9
4,7,1963,11
5,7,1963,11
6,7,1963,16
7,7,1963,15
8,7,1963,14
9,7,1963,13
10,7,1963,14
11,7,1963,16
12,7,1963,18
13,7,1963,25
14,7,1963,16
15,7,1963,15
16,7,1963,11
17,7,1963,15
18,7,1963,18
19,7,1963,17
20,7,1963,15
21,7,1963,7
22,7,1963,17
23,7,1963,18
24,7,1963,16
25,7,1963,10
26,7,1963,11
27,7,1963,20
28,7,1963,13
29,7,1963,14
30,7,1963,15
31,7,1963,12
1,8,1963,31
2,8,1963,13
3,8,1963,18
4,8,1963,18
5,8,1963,19
6,8,1963,15
7,8,1963,30
8,8,1963,13
9,8,1963,15
10,8,1963,14
11,8,1963,20
12,8,1963,11
13,8,1963,7
14,8,1963,11
15,8,1963,15
16,8,1963,8
17,8,1963,13
18,8,1963,8
19,8,1963,11
20,8,1963,18
21,8,1963,15
22,8,1963,13
23,8,1963,15
24,8,1963,16
25,8,1963,16
26,8,1963,10
27,8,1963,13
28,8,1963,15
29,8,1963,8
30,8,1963,13
31,8,1963,11
1,9,1963,10
2,9,1963,12
3,9,1963,11
4,9,1963,14
5,9,1963,16
6,9,1963,13
7,9,1963,14
8,9,1963,12
9,9,1963,15
10,9,1963,17
11,9,1963,13
12,9,1963,23
13,9,1963,10
14,9,1963,14
15,9,1963,12
16,9,1963,19
17,9,1963,11
18,9,1963,15
19,9,1963,20
20,9,1963,13
21,9,1963,17
22,9,1963,14
23,9,1963,10
24,9,1963,11
25,9,1963,9
26,9,1963,13
27,9,1963,10
28,9,1963,11
29,9,1963,12
30,9,1963,8
1,10,1963,12
2,10,1963,11
3,10,1963,12
4,10,1963,13
5,10,1963,8
6,10,1963,15
7,10,1963,15
8,10,1963,11
9,10,1963,13
10,10,1963,15
11,10,1963,11
12,10,1963,13
13,10,1963,11
14,10,1963,9
15,10,1963,22
16,10,1963,12
17,10,1963,12
18,10,1963,14
19,10,1963,21
20,10,1963,15
21,10,1963,17
22,10,1963,13
23,10,1963,15
24,10,1963,20
25,10,1963,10
26,10,1963,10
27,10,1963,13
28,10,1963,11
29,10,1963,15
30,10,1963,16
31,10,1963,13
1,11,1963,10
2,11,1963,14
3,11,1963,10
4,11,1963,11
5,11,1963,12
6,11,1963,10
7,11,1963,18
8,11,1963,16
9,11,1963,14
10,11,1963,18
11,11,1963,13
12,11,1963,19
13,11,1963,12
14,11,1963,14
15,11,1963,17
16,11,1963,14
17,11,1963,13
18,11,1963,14
19,11,1963,12
20,11,1963,17
21,11,1963,22
22,11,1963,13
23,11,1963,9
24,11,1963,13
25,11,1963,13
26,11,1963,15
27,11,1963,10
28,11,1963,11
29,11,1963,17
30,11,1963,15
1,12,1963,10
2,12,1963,10
3,12,1963,14
4,12,1963,9
5,12,1963,12
6,12,1963,6
7,12,1963,17
8,12,1963,14
9,12,1963,10
10,12,1963,14
11,12,1963,21
12,12,1963,24
13,12,1963,20
14,12,1963,12
15,12,1963,21
