dd,mm,yy,occurrence
1,1,1969,42
2,1,1969,21
3,1,1969,24
4,1,1969,13
5,1,1969,16
6,1,1969,21
7,1,1969,19
8,1,1969,18
9,1,1969,12
10,1,1969,29
11,1,1969,25
12,1,1969,16
13,1,1969,14
14,1,1969,18
15,1,1969,16
16,1,1969,18
17,1,1969,19
18,1,1969,23
19,1,1969,19
20,1,1969,22
21,1,1969,17
22,1,1969,25
23,1,1969,22
24,1,1969,13
25,1,1969,15
26,1,1969,21
27,1,1969,22
28,1,1969,21
29,1,1969,17
30,1,1969,23
31,1,1969,18
1,2,1969,26
2,2,1969,19
3,2,1969,19
4,2,1969,23
5,2,1969,19
6,2,1969,17
7,2,1969,18
8,2,1969,20
9,2,1969,14
10,2,1969,19
11,2,1969,32
12,2,1969,16
13,2,1969,23
14,2,1969,30
15,2,1969,17
16,2,1969,26
17,2,1969,21
18,2,1969,19
19,2,1969,15
20,2,1969,22
21,2,1969,21
22,2,1969,27
23,2,1969,23
24,2,1969,17
25,2,1969,25
26,2,1969,20
27,2,1969,23
28,2,1969,13
1,3,1969,21
2,3,1969,18
3,3,1969,21
4,3,1969,9
5,3,1969,17
6,3,1969,25
7,3,1969,11
8,3,1969,20
9,3,1969,13
10,3,1969,25
11,3,1969,20
12,3,1969,25
13,3,1969,28
14,3,1969,13
15,3,1969,23
16,3,1969,25
17,3,1969,11
18,3,1969,26
19,3,1969,17
20,3,1969,22
21,3,1969,23
22,3,1969,21
23,3,1969,18
24,3,1969,21
25,3,1969,19
26,3,1969,12
27,3,1969,14
28,3,1969,11
29,3,1969,19
30,3,1969,17
31,3,1969,25
1,4,1969,22
2,4,1969,27
3,4,1969,28
4,4,1969,24
5,4,1969,21
6,4,1969,19
7,4,1969,26
8,4,1969,20
9,4,1969,16
10,4,1969,22
11,4,1969,15
12,4,1969,23
13,4,1969,19
14,4,1969,22
15,4,1969,23
16,4,1969,19
17,4,1969,22
18,4,1969,18
19,4,1969,20
20,4,1969,14
21,4,1969,23
22,4,1969,25
23,4,1969,26
24,4,1969,27
25,4,1969,26
26,4,1969,22
27,4,1969,16
28,4,1969,20
29,4,1969,25
30,4,1969,17
1,5,1969,29
2,5,1969,26
3,5,1969,13
4,5,1969,18
5,5,1969,19
6,5,1969,20
7,5,1969,22
8,5,1969,15
9,5,1969,22
10,5,1969,25
11,5,1969,12
12,5,1969,19
13,5,1969,11
14,5,1969,25
15,5,1969,28
16,5,1969,21
17,5,1969,17
18,5,1969,21
19,5,1969,17
20,5,1969,14
21,5,1969,20
22,5,1969,25
23,5,1969,15
24,5,1969,16
25,5,1969,22
26,5,1969,24
27,5,1969,15
28,5,1969,23
29,5,1969,30
30,5,1969,27
31,5,1969,14
1,6,1969,15
2,6,1969,17
3,6,1969,14
4,6,1969,18
5,6,1969,13
6,6,1969,31
7,6,1969,14
8,6,1969,17
9,6,1969,26
10,6,1969,23
11,6,1969,17
12,6,1969,21
13,6,1969,20
14,6,1969,21
15,6,1969,22
16,6,1969,20
17,6,1969,18
18,6,1969,18
19,6,1969,20
20,6,1969,11
21,6,1969,26
22,6,1969,15
23,6,1969,21
24,6,1969,27
25,6,1969,22
26,6,1969,17
27,6,1969,16
28,6,1969,17
29,6,1969,19
30,6,1969,18
1,7,1969,21
2,7,1969,27
3,7,1969,14
4,7,1969,23
5,7,1969,21
6,7,1969,12
7,7,1969,24
8,7,1969,16
9,7,1969,21
10,7,1969,22
11,7,1969,18
12,7,1969,24
13,7,1969,23
14,7,1969,14
15,7,1969,15
16,7,1969,11
17,7,1969,23
18,7,1969,20
19,7,1969,23
20,7,1969,18
21,7,1969,23
22,7,1969,22
23,7,1969,13
24,7,1969,20
25,7,1969,25
26,7,1969,23
27,7,1969,29
28,7,1969,24
29,7,1969,22
30,7,1969,10
31,7,1969,20
1,8,1969,21
2,8,1969,19
3,8,1969,18
4,8,1969,15
5,8,1969,21
6,8,1969,21
7,8,1969,24
8,8,1969,28
9,8,1969,19
10,8,1969,18
11,8,1969,27
12,8,1969,21
13,8,1969,18
14,8,1969,20
15,8,1969,29
16,8,1969,12
17,8,1969,17
18,8,1969,22
19,8,1969,22
20,8,1969,27
21,8,1969,22
22,8,1969,19
23,8,1969,27
24,8,1969,19
25,8,1969,24
26,8,1969,18
27,8,1969,17
28,8,1969,13
29,8,1969,18
30,8,1969,18
31,8,1969,21
1,9,1969,19
2,9,1969,18
3,9,1969,23
4,9,1969,17
5,9,1969,18
6,9,1969,26
7,9,1969,13
8,9,1969,14
9,9,1969,11
10,9,1969,29
11,9,1969,15
12,9,1969,19
13,9,1969,22
14,9,1969,25
15,9,1969,23
16,9,1969,14
17,9,1969,19
18,9,1969,26
19,9,1969,17
20,9,1969,18
21,9,1969,19
22,9,1969,22
23,9,1969,24
24,9,1969,15
25,9,1969,17
26,9,1969,26
27,9,1969,17
28,9,1969,20
29,9,1969,24
30,9,1969,17
1,10,1969,14
2,10,1969,17
3,10,1969,13
4,10,1969,15
5,10,1969,14
6,10,1969,12
7,10,1969,23
8,10,1969,20
9,10,1969,14
10,10,1969,19
11,10,1969,20
12,10,1969,13
13,10,1969,15
14,10,1969,10
15,10,1969,18
16,10,1969,22
17,10,1969,11
18,10,1969,22
19,10,1969,20
20,10,1969,22
21,10,1969,20
22,10,1969,18
23,10,1969,12
24,10,1969,14
25,10,1969,20
26,10,1969,18
27,10,1969,14
28,10,1969,15
29,10,1969,16
30,10,1969,17
31,10,1969,16
1,11,1969,24
2,11,1969,13
3,11,1969,21
4,11,1969,12
5,11,1969,13
6,11,1969,13
7,11,1969,19
8,11,1969,20
9,11,1969,17
10,11,1969,12
11,11,1969,16
12,11,1969,17
13,11,1969,20
14,11,1969,20
15,11,1969,18
16,11,1969,10
17,11,1969,19
18,11,1969,25
19,11,1969,17
20,11,1969,14
21,11,1969,27
22,11,1969,25
23,11,1969,21
24,11,1969,16
25,11,1969,13
26,11,1969,14
27,11,1969,12
28,11,1969,19
29,11,1969,17
30,11,1969,16
1,12,1969,23
2,12,1969,17
3,12,1969,18
4,12,1969,21
5,12,1969,11
6,12,1969,17
7,12,1969,13
8,12,1969,22
9,12,1969,26
10,12,1969,22
11,12,1969,19
12,12,1969,23
13,12,1969,22
14,12,1969,21
15,12,1969,29
16,12,1969,20
17,12,1969,13
18,12,1969,26
19,12,1969,19
20,12,1969,18
21,12,1969,20
22,12,1969,18
23,12,1969,17
24,12,1969,18
25,12,1969,19
26,12,1969,15
27,12,1969,18
28,12,1969,20
29,12,1969,19
30,12,1969,25
31,12,1969,27
