dd,mm,yy,occurrence
1,1,1977,110
2,1,1977,62
3,1,1977,29
4,1,1977,38
5,1,1977,35
6,1,1977,30
7,1,1977,29
8,1,1977,26
9,1,1977,23
10,1,1977,41
11,1,1977,50
12,1,1977,35
13,1,1977,26
14,1,1977,30
15,1,1977,33
16,1,1977,24
17,1,1977,36
18,1,1977,26
19,1,1977,39
20,1,1977,34
21,1,1977,34
22,1,1977,23
23,1,1977,34
24,1,1977,36
25,1,1977,26
26,1,1977,28
27,1,1977,40
28,1,1977,44
29,1,1977,38
30,1,1977,44
31,1,1977,35
1,2,1977,38
2,2,1977,62
3,2,1977,36
4,2,1977,41
5,2,1977,33
6,2,1977,29
7,2,1977,36
8,2,1977,27
9,2,1977,32
10,2,1977,43
11,2,1977,37
12,2,1977,38
13,2,1977,31
14,2,1977,49
15,2,1977,39
16,2,1977,37
17,2,1977,36
18,2,1977,20
19,2,1977,29
20,2,1977,38
21,2,1977,32
22,2,1977,42
23,2,1977,50
24,2,1977,33
25,2,1977,28
26,2,1977,42
27,2,1977,34
28,2,1977,34
1,3,1977,38
2,3,1977,80
3,3,1977,31
4,3,1977,41
5,3,1977,28
6,3,1977,34
7,3,1977,27
8,3,1977,52
9,3,1977,31
10,3,1977,31
11,3,1977,30
12,3,1977,40
13,3,1977,36
14,3,1977,34
15,3,1977,29
16,3,1977,33
17,3,1977,43
18,3,1977,40
19,3,1977,30
20,3,1977,28
21,3,1977,48
22,3,1977,30
23,3,1977,36
24,3,1977,38
25,3,1977,39
26,3,1977,36
27,3,1977,33
28,3,1977,36
29,3,1977,38
30,3,1977,36
31,3,1977,28
1,4,1977,43
2,4,1977,70
3,4,1977,48
4,4,1977,43
5,4,1977,41
6,4,1977,31
7,4,1977,33
8,4,1977,38
9,4,1977,31
10,4,1977,41
11,4,1977,42
12,4,1977,54
13,4,1977,30
14,4,1977,46
15,4,1977,32
16,4,1977,38
17,4,1977,31
18,4,1977,36
19,4,1977,29
20,4,1977,32
21,4,1977,34
22,4,1977,36
23,4,1977,46
24,4,1977,38
25,4,1977,43
26,4,1977,24
27,4,1977,34
28,4,1977,41
29,4,1977,34
30,4,1977,39
1,5,1977,44
2,5,1977,73
3,5,1977,40
4,5,1977,28
5,5,1977,36
6,5,1977,36
7,5,1977,40
8,5,1977,39
9,5,1977,36
10,5,1977,37
11,5,1977,49
12,5,1977,34
13,5,1977,32
14,5,1977,49
15,5,1977,41
16,5,1977,45
17,5,1977,33
18,5,1977,35
19,5,1977,54
20,5,1977,39
21,5,1977,30
22,5,1977,30
23,5,1977,38
24,5,1977,39
25,5,1977,35
26,5,1977,36
27,5,1977,33
28,5,1977,40
29,5,1977,37
30,5,1977,35
31,5,1977,53
1,6,1977,43
2,6,1977,75
3,6,1977,47
4,6,1977,33
5,6,1977,28
6,6,1977,36
7,6,1977,42
8,6,1977,41
9,6,1977,42
10,6,1977,37
11,6,1977,40
12,6,1977,40
13,6,1977,22
14,6,1977,36
15,6,1977,34
16,6,1977,36
17,6,1977,39
18,6,1977,37
19,6,1977,29
20,6,1977,36
21,6,1977,31
22,6,1977,40
23,6,1977,29
24,6,1977,44
25,6,1977,42
26,6,1977,43
27,6,1977,28
28,6,1977,26
29,6,1977,23
30,6,1977,36
1,7,1977,32
2,7,1977,65
3,7,1977,43
4,7,1977,48
5,7,1977,47
6,7,1977,44
7,7,1977,80
8,7,1977,33
9,7,1977,23
10,7,1977,45
11,7,1977,39
12,7,1977,36
13,7,1977,34
14,7,1977,33
15,7,1977,33
16,7,1977,32
17,7,1977,38
18,7,1977,37
