dd,mm,yy,occurrence
1,1,1975,117
2,1,1975,72
3,1,1975,25
4,1,1975,32
5,1,1975,35
6,1,1975,27
7,1,1975,31
8,1,1975,24
9,1,1975,24
10,1,1975,41
11,1,1975,28
12,1,1975,36
13,1,1975,41
14,1,1975,25
15,1,1975,29
16,1,1975,23
17,1,1975,37
18,1,1975,31
19,1,1975,38
20,1,1975,28
21,1,1975,30
22,1,1975,47
23,1,1975,39
24,1,1975,36
25,1,1975,35
26,1,1975,33
27,1,1975,33
28,1,1975,38
29,1,1975,25
30,1,1975,32
31,1,1975,30
1,2,1975,41
2,2,1975,57
3,2,1975,26
4,2,1975,25
5,2,1975,27
6,2,1975,35
7,2,1975,33
8,2,1975,25
9,2,1975,18
10,2,1975,39
11,2,1975,32
12,2,1975,35
13,2,1975,38
14,2,1975,37
15,2,1975,36
16,2,1975,39
17,2,1975,39
18,2,1975,29
19,2,1975,33
20,2,1975,21
21,2,1975,29
22,2,1975,29
23,2,1975,48
24,2,1975,26
25,2,1975,25
26,2,1975,37
27,2,1975,33
28,2,1975,42
1,3,1975,42
2,3,1975,73
3,3,1975,31
4,3,1975,36
5,3,1975,27
6,3,1975,34
7,3,1975,31
8,3,1975,37
9,3,1975,22
10,3,1975,44
11,3,1975,45
12,3,1975,38
13,3,1975,31
14,3,1975,29
15,3,1975,47
16,3,1975,36
17,3,1975,35
18,3,1975,33
19,3,1975,30
20,3,1975,31
21,3,1975,32
22,3,1975,24
23,3,1975,31
24,3,1975,33
25,3,1975,32
26,3,1975,23
27,3,1975,29
28,3,1975,35
29,3,1975,31
30,3,1975,33
31,3,1975,39
1,4,1975,26
2,4,1975,77
3,4,1975,47
4,4,1975,37
5,4,1975,29
6,4,1975,33
7,4,1975,36
8,4,1975,31
9,4,1975,42
10,4,1975,34
11,4,1975,42
12,4,1975,48
13,4,1975,39
14,4,1975,27
15,4,1975,31
16,4,1975,27
17,4,1975,35
18,4,1975,28
19,4,1975,22
20,4,1975,33
21,4,1975,38
22,4,1975,33
23,4,1975,37
24,4,1975,30
25,4,1975,26
26,4,1975,22
27,4,1975,30
28,4,1975,46
29,4,1975,33
30,4,1975,32
1,5,1975,41
2,5,1975,72
3,5,1975,35
4,5,1975,45
5,5,1975,52
6,5,1975,37
7,5,1975,25
8,5,1975,25
9,5,1975,54
10,5,1975,33
11,5,1975,32
12,5,1975,39
13,5,1975,22
14,5,1975,32
15,5,1975,37
16,5,1975,27
17,5,1975,37
18,5,1975,35
19,5,1975,39
20,5,1975,32
21,5,1975,31
22,5,1975,25
23,5,1975,35
24,5,1975,34
25,5,1975,46
26,5,1975,31
27,5,1975,42
28,5,1975,31
29,5,1975,30
30,5,1975,30
31,5,1975,21
1,6,1975,41
2,6,1975,58
3,6,1975,30
4,6,1975,40
5,6,1975,31
6,6,1975,41
7,6,1975,33
8,6,1975,25
9,6,1975,41
10,6,1975,28
11,6,1975,40
12,6,1975,27
13,6,1975,31
14,6,1975,29
15,6,1975,44
16,6,1975,32
17,6,1975,23
18,6,1975,32
19,6,1975,29
20,6,1975,23
21,6,1975,40
22,6,1975,20
23,6,1975,29
24,6,1975,41
25,6,1975,30
26,6,1975,36
27,6,1975,42
28,6,1975,25
29,6,1975,25
30,6,1975,37
1,7,1975,31
2,7,1975,71
3,7,1975,26
4,7,1975,32
5,7,1975,27
6,7,1975,35
7,7,1975,34
8,7,1975,41
9,7,1975,42
10,7,1975,35
11,7,1975,25
12,7,1975,34
13,7,1975,26
14,7,1975,27
15,7,1975,35
16,7,1975,28
17,7,1975,33
18,7,1975,32
19,7,1975,26
20,7,1975,34
21,7,1975,34
22,7,1975,28
23,7,1975,37
24,7,1975,33
25,7,1975,33
26,7,1975,31
27,7,1975,39
28,7,1975,35
29,7,1975,32
30,7,1975,25
31,7,1975,26
1,8,1975,48
2,8,1975,61
3,8,1975,38
4,8,1975,30
5,8,1975,35
6,8,1975,34
7,8,1975,43
8,8,1975,30
9,8,1975,31
10,8,1975,36
11,8,1975,37
12,8,1975,35
13,8,1975,21
14,8,1975,25
15,8,1975,30
16,8,1975,37
17,8,1975,33
18,8,1975,26
19,8,1975,40
20,8,1975,19
21,8,1975,34
22,8,1975,35
23,8,1975,28
24,8,1975,30
25,8,1975,30
26,8,1975,28
27,8,1975,33
28,8,1975,29
29,8,1975,27
30,8,1975,28
31,8,1975,29
1,9,1975,30
2,9,1975,69
3,9,1975,23
4,9,1975,22
5,9,1975,23
6,9,1975,34
7,9,1975,27
8,9,1975,25
9,9,1975,36
10,9,1975,38
11,9,1975,33
12,9,1975,39
13,9,1975,21
14,9,1975,22
15,9,1975,23
16,9,1975,34
17,9,1975,29
18,9,1975,32
19,9,1975,36
20,9,1975,29
21,9,1975,34
22,9,1975,29
23,9,1975,39
24,9,1975,30
25,9,1975,33
26,9,1975,24
27,9,1975,22
28,9,1975,31
29,9,1975,34
30,9,1975,28
1,10,1975,43
2,10,1975,19
3,10,1975,26
4,10,1975,19
5,10,1975,30
6,10,1975,26
7,10,1975,28
8,10,1975,30
9,10,1975,22
10,10,1975,18
11,10,1975,22
12,10,1975,20
13,10,1975,28
14,10,1975,32
15,10,1975,27
16,10,1975,29
17,10,1975,19
18,10,1975,33
19,10,1975,41
20,10,1975,29
21,10,1975,28
22,10,1975,29
23,10,1975,25
24,10,1975,29
25,10,1975,59
26,10,1975,28
27,10,1975,25
28,10,1975,23
29,10,1975,26
30,10,1975,36
31,10,1975,20
1,11,1975,31
2,11,1975,23
3,11,1975,25
4,11,1975,28
5,11,1975,26
6,11,1975,33
7,11,1975,28
8,11,1975,26
9,11,1975,25
10,11,1975,30
11,11,1975,42
12,11,1975,30
13,11,1975,35
14,11,1975,33
15,11,1975,34
16,11,1975,36
17,11,1975,31
18,11,1975,43
19,11,1975,30
20,11,1975,31
21,11,1975,40
22,11,1975,43
23,11,1975,34
24,11,1975,40
25,11,1975,36
26,11,1975,24
27,11,1975,28
28,11,1975,34
29,11,1975,25
30,11,1975,28
1,12,1975,49
2,12,1975,34
3,12,1975,28
4,12,1975,29
5,12,1975,29
6,12,1975,30
7,12,1975,30
8,12,1975,32
9,12,1975,33
10,12,1975,40
11,12,1975,35
12,12,1975,45
13,12,1975,38
14,12,1975,27
15,12,1975,37
16,12,1975,33
