dd,mm,yy,occurrence
1,1,1968,51
2,1,1968,18
3,1,1968,22
4,1,1968,20
5,1,1968,21
6,1,1968,13
7,1,1968,13
8,1,1968,17
9,1,1968,17
10,1,1968,24
11,1,1968,15
12,1,1968,19
13,1,1968,23
14,1,1968,7
15,1,1968,19
16,1,1968,19
17,1,1968,12
18,1,1968,18
19,1,1968,16
20,1,1968,25
21,1,1968,22
22,1,1968,16
23,1,1968,12
24,1,1968,22
25,1,1968,18
26,1,1968,18
27,1,1968,20
28,1,1968,22
29,1,1968,13
30,1,1968,22
31,1,1968,17
1,2,1968,17
2,2,1968,20
3,2,1968,16
4,2,1968,19
5,2,1968,22
6,2,1968,23
7,2,1968,14
8,2,1968,16
9,2,1968,26
10,2,1968,15
11,2,1968,21
12,2,1968,21
13,2,1968,14
14,2,1968,22
15,2,1968,22
16,2,1968,17
17,2,1968,18
18,2,1968,21
19,2,1968,20
20,2,1968,19
21,2,1968,13
22,2,1968,15
23,2,1968,26
24,2,1968,16
25,2,1968,21
26,2,1968,16
27,2,1968,14
28,2,1968,21
29,2,1968,11
1,3,1968,17
2,3,1968,20
3,3,1968,22
4,3,1968,17
5,3,1968,16
6,3,1968,20
7,3,1968,21
8,3,1968,18
9,3,1968,9
10,3,1968,21
11,3,1968,19
12,3,1968,12
13,3,1968,26
14,3,1968,22
15,3,1968,14
16,3,1968,9
17,3,1968,11
18,3,1968,17
19,3,1968,11
20,3,1968,16
21,3,1968,30
22,3,1968,19
23,3,1968,16
24,3,1968,16
25,3,1968,23
26,3,1968,18
27,3,1968,22
28,3,1968,17
29,3,1968,27
30,3,1968,19
31,3,1968,13
1,4,1968,34
2,4,1968,19
3,4,1968,21
4,4,1968,15
5,4,1968,18
6,4,1968,17
7,4,1968,21
8,4,1968,20
9,4,1968,12
10,4,1968,19
11,4,1968,16
12,4,1968,23
13,4,1968,22
14,4,1968,29
15,4,1968,14
16,4,1968,25
17,4,1968,25
18,4,1968,19
19,4,1968,14
20,4,1968,14
21,4,1968,18
22,4,1968,23
23,4,1968,16
24,4,1968,13
25,4,1968,18
26,4,1968,15
27,4,1968,16
28,4,1968,15
29,4,1968,24
30,4,1968,6
1,5,1968,19
2,5,1968,15
3,5,1968,30
4,5,1968,16
5,5,1968,19
6,5,1968,22
7,5,1968,9
8,5,1968,17
9,5,1968,16
10,5,1968,20
11,5,1968,17
12,5,1968,25
13,5,1968,24
14,5,1968,17
15,5,1968,14
16,5,1968,16
17,5,1968,14
18,5,1968,13
19,5,1968,12
20,5,1968,27
21,5,1968,18
22,5,1968,17
23,5,1968,18
24,5,1968,13
25,5,1968,12
26,5,1968,22
27,5,1968,20
28,5,1968,17
29,5,1968,16
30,5,1968,18
31,5,1968,19
1,6,1968,17
2,6,1968,17
3,6,1968,13
4,6,1968,8
5,6,1968,20
6,6,1968,22
7,6,1968,24
8,6,1968,18
9,6,1968,18
10,6,1968,16
11,6,1968,17
12,6,1968,27
13,6,1968,21
14,6,1968,17
15,6,1968,11
16,6,1968,29
17,6,1968,12
18,6,1968,20
19,6,1968,17
20,6,1968,14
21,6,1968,14
22,6,1968,13
23,6,1968,16
24,6,1968,11
25,6,1968,17
26,6,1968,19
27,6,1968,11
28,6,1968,20
29,6,1968,19
30,6,1968,24
1,7,1968,18
2,7,1968,14
3,7,1968,16
4,7,1968,13
5,7,1968,18
6,7,1968,16
7,7,1968,21
8,7,1968,23
9,7,1968,9
10,7,1968,18
11,7,1968,12
12,7,1968,15
13,7,1968,17
14,7,1968,21
15,7,1968,27
16,7,1968,15
17,7,1968,16
18,7,1968,24
19,7,1968,18
20,7,1968,19
21,7,1968,14
22,7,1968,20
23,7,1968,25
24,7,1968,18
25,7,1968,17
26,7,1968,12
27,7,1968,16
28,7,1968,17
29,7,1968,14
30,7,1968,16
31,7,1968,9
1,8,1968,17
2,8,1968,19
3,8,1968,18
4,8,1968,12
5,8,1968,15
6,8,1968,21
7,8,1968,14
8,8,1968,11
9,8,1968,14
10,8,1968,17
11,8,1968,23
12,8,1968,19
13,8,1968,18
14,8,1968,13
15,8,1968,24
16,8,1968,25
17,8,1968,21
18,8,1968,14
19,8,1968,18
20,8,1968,13
21,8,1968,12
22,8,1968,18
23,8,1968,25
24,8,1968,14
25,8,1968,21
26,8,1968,20
27,8,1968,26
28,8,1968,18
29,8,1968,14
30,8,1968,17
31,8,1968,17
1,9,1968,24
2,9,1968,27
3,9,1968,17
4,9,1968,18
5,9,1968,13
6,9,1968,12
7,9,1968,19
8,9,1968,13
9,9,1968,18
10,9,1968,20
11,9,1968,20
12,9,1968,16
13,9,1968,8
14,9,1968,15
15,9,1968,15
16,9,1968,16
17,9,1968,21
18,9,1968,18
19,9,1968,16
20,9,1968,21
21,9,1968,17
22,9,1968,20
23,9,1968,22
24,9,1968,21
25,9,1968,22
26,9,1968,23
27,9,1968,9
28,9,1968,16
29,9,1968,16
30,9,1968,18
1,10,1968,15
2,10,1968,14
3,10,1968,17
4,10,1968,12
5,10,1968,11
6,10,1968,16
7,10,1968,16
8,10,1968,13
9,10,1968,16
10,10,1968,16
11,10,1968,11
12,10,1968,12
13,10,1968,12
14,10,1968,16
15,10,1968,19
16,10,1968,17
17,10,1968,7
18,10,1968,10
19,10,1968,12
20,10,1968,14
21,10,1968,26
22,10,1968,14
23,10,1968,19
24,10,1968,16
25,10,1968,14
26,10,1968,11
27,10,1968,13
28,10,1968,15
29,10,1968,14
30,10,1968,17
31,10,1968,22
1,11,1968,13
2,11,1968,13
3,11,1968,10
4,11,1968,19
5,11,1968,9
6,11,1968,14
7,11,1968,13
8,11,1968,12
9,11,1968,15
10,11,1968,17
11,11,1968,12
12,11,1968,16
13,11,1968,16
14,11,1968,21
15,11,1968,19
16,11,1968,18
17,11,1968,18
18,11,1968,19
19,11,1968,11
20,11,1968,14
21,11,1968,20
22,11,1968,17
23,11,1968,16
24,11,1968,19
25,11,1968,18
26,11,1968,17
27,11,1968,12
28,11,1968,12
29,11,1968,17
30,11,1968,14
1,12,1968,17
2,12,1968,21
3,12,1968,10
4,12,1968,17
5,12,1968,10
6,12,1968,14
7,12,1968,16
8,12,1968,16
9,12,1968,13
10,12,1968,19
11,12,1968,19
12,12,1968,27
13,12,1968,17
14,12,1968,13
15,12,1968,26
16,12,1968,17
17,12,1968,19
18,12,1968,23
19,12,1968,25
20,12,1968,16
21,12,1968,21
22,12,1968,19
23,12,1968,16
24,12,1968,18
25,12,1968,15
26,12,1968,11
27,12,1968,15
28,12,1968,21
29,12,1968,11
30,12,1968,13
31,12,1968,12
