dd,mm,yy,occurrence
1,1,1956,36
2,1,1956,18
3,1,1956,14
4,1,1956,10
5,1,1956,12
6,1,1956,11
7,1,1956,9
8,1,1956,13
9,1,1956,8
10,1,1956,7
11,1,1956,9
12,1,1956,5
13,1,1956,13
14,1,1956,4
15,1,1956,11
16,1,1956,8
17,1,1956,8
18,1,1956,10
19,1,1956,13
20,1,1956,7
21,1,1956,15
22,1,1956,18
23,1,1956,6
24,1,1956,11
25,1,1956,11
26,1,1956,4
27,1,1956,7
28,1,1956,5
29,1,1956,11
30,1,1956,12
31,1,1956,10
1,2,1956,14
2,2,1956,14
3,2,1956,9
4,2,1956,13
5,2,1956,8
6,2,1956,15
7,2,1956,15
8,2,1956,9
9,2,1956,11
10,2,1956,11
11,2,1956,10
12,2,1956,12
13,2,1956,7
14,2,1956,14
15,2,1956,13
16,2,1956,5
17,2,1956,11
18,2,1956,10
19,2,1956,17
20,2,1956,14
21,2,1956,18
22,2,1956,10
23,2,1956,12
24,2,1956,7
25,2,1956,12
26,2,1956,15
27,2,1956,12
28,2,1956,19
29,2,1956,6
1,3,1956,12
2,3,1956,12
3,3,1956,10
4,3,1956,16
5,3,1956,11
6,3,1956,7
7,3,1956,8
8,3,1956,5
9,3,1956,9
10,3,1956,12
11,3,1956,7
12,3,1956,11
13,3,1956,19
14,3,1956,10
15,3,1956,13
16,3,1956,14
17,3,1956,15
18,3,1956,12
19,3,1956,11
20,3,1956,7
21,3,1956,10
22,3,1956,12
23,3,1956,5
24,3,1956,4
25,3,1956,19
26,3,1956,13
27,3,1956,11
28,3,1956,7
29,3,1956,10
30,3,1956,11
31,3,1956,12
1,4,1956,10
2,4,1956,14
3,4,1956,5
4,4,1956,14
5,4,1956,12
6,4,1956,14
7,4,1956,11
8,4,1956,8
9,4,1956,14
10,4,1956,8
11,4,1956,17
12,4,1956,9
13,4,1956,8
14,4,1956,6
15,4,1956,10
16,4,1956,10
17,4,1956,9
18,4,1956,11
19,4,1956,7
20,4,1956,12
21,4,1956,17
22,4,1956,16
23,4,1956,9
24,4,1956,7
25,4,1956,8
26,4,1956,8
27,4,1956,15
28,4,1956,10
29,4,1956,8
30,4,1956,8
1,5,1956,16
2,5,1956,13
3,5,1956,7
4,5,1956,9
5,5,1956,11
6,5,1956,10
7,5,1956,9
8,5,1956,5
9,5,1956,13
10,5,1956,9
11,5,1956,10
12,5,1956,15
13,5,1956,7
14,5,1956,7
15,5,1956,12
16,5,1956,9
17,5,1956,13
18,5,1956,9
19,5,1956,14
20,5,1956,7
21,5,1956,14
22,5,1956,12
23,5,1956,6
24,5,1956,9
25,5,1956,6
26,5,1956,6
27,5,1956,7
28,5,1956,10
29,5,1956,7
30,5,1956,9
31,5,1956,11
1,6,1956,7
2,6,1956,10
3,6,1956,9
4,6,1956,6
5,6,1956,6
6,6,1956,12
7,6,1956,8
8,6,1956,5
9,6,1956,13
10,6,1956,8
11,6,1956,16
12,6,1956,7
13,6,1956,3
14,6,1956,4
15,6,1956,12
16,6,1956,11
17,6,1956,12
18,6,1956,7
19,6,1956,13
20,6,1956,7
21,6,1956,8
22,6,1956,9
23,6,1956,12
24,6,1956,11
25,6,1956,10
26,6,1956,9
27,6,1956,6
28,6,1956,9
29,6,1956,12
30,6,1956,6
1,7,1956,9
2,7,1956,14
3,7,1956,14
4,7,1956,5
5,7,1956,9
6,7,1956,8
7,7,1956,9
8,7,1956,7
9,7,1956,11
10,7,1956,9
11,7,1956,9
12,7,1956,7
13,7,1956,6
14,7,1956,10
15,7,1956,7
16,7,1956,10
17,7,1956,9
18,7,1956,8
19,7,1956,11
20,7,1956,9
21,7,1956,9
22,7,1956,7
23,7,1956,6
24,7,1956,8
25,7,1956,13
26,7,1956,8
27,7,1956,22
28,7,1956,9
29,7,1956,7
30,7,1956,12
31,7,1956,11
1,8,1956,6
2,8,1956,11
3,8,1956,6
4,8,1956,6
5,8,1956,13
6,8,1956,9
7,8,1956,7
8,8,1956,11
9,8,1956,8
10,8,1956,11
11,8,1956,14
12,8,1956,10
13,8,1956,12
14,8,1956,8
15,8,1956,10
16,8,1956,5
17,8,1956,8
18,8,1956,9
19,8,1956,8
20,8,1956,7
21,8,1956,8
22,8,1956,10
23,8,1956,11
24,8,1956,14
25,8,1956,7
26,8,1956,9
27,8,1956,6
28,8,1956,7
29,8,1956,5
30,8,1956,7
31,8,1956,7
1,9,1956,5
2,9,1956,10
3,9,1956,7
4,9,1956,10
5,9,1956,8
6,9,1956,9
7,9,1956,5
8,9,1956,15
9,9,1956,10
10,9,1956,6
11,9,1956,13
12,9,1956,4
13,9,1956,7
14,9,1956,5
15,9,1956,13
16,9,1956,8
17,9,1956,15
18,9,1956,8
19,9,1956,12
20,9,1956,8
21,9,1956,10
22,9,1956,8
23,9,1956,10
24,9,1956,11
25,9,1956,9
26,9,1956,8
27,9,1956,11
28,9,1956,9
29,9,1956,5
30,9,1956,15
1,10,1956,10
2,10,1956,10
3,10,1956,11
4,10,1956,6
5,10,1956,8
6,10,1956,9
7,10,1956,10
8,10,1956,3
9,10,1956,7
10,10,1956,12
11,10,1956,7
12,10,1956,5
13,10,1956,11
14,10,1956,14
15,10,1956,8
16,10,1956,6
17,10,1956,7
18,10,1956,9
19,10,1956,11
20,10,1956,10
21,10,1956,8
22,10,1956,3
23,10,1956,9
24,10,1956,9
25,10,1956,10
26,10,1956,10
27,10,1956,10
28,10,1956,6
29,10,1956,6
30,10,1956,6
31,10,1956,4
1,11,1956,8
2,11,1956,11
3,11,1956,8
4,11,1956,15
5,11,1956,8
6,11,1956,9
7,11,1956,11
8,11,1956,8
9,11,1956,7
10,11,1956,9
11,11,1956,11
12,11,1956,16
13,11,1956,9
14,11,1956,10
15,11,1956,11
16,11,1956,10
17,11,1956,8
18,11,1956,11
19,11,1956,13
20,11,1956,7
21,11,1956,8
22,11,1956,5
23,11,1956,10
24,11,1956,9
25,11,1956,8
26,11,1956,14
27,11,1956,14
28,11,1956,11
29,11,1956,11
30,11,1956,8
1,12,1956,6
2,12,1956,7
3,12,1956,4
4,12,1956,6
5,12,1956,14
6,12,1956,4
7,12,1956,10
8,12,1956,6
9,12,1956,3
10,12,1956,12
11,12,1956,9
12,12,1956,11
13,12,1956,6
14,12,1956,13
15,12,1956,9
16,12,1956,10
17,12,1956,11
18,12,1956,6
19,12,1956,12
20,12,1956,4
21,12,1956,4
22,12,1956,7
23,12,1956,10
24,12,1956,7
25,12,1956,8
26,12,1956,6
27,12,1956,11
28,12,1956,12
29,12,1956,8
30,12,1956,7
31,12,1956,3
