dd,mm,yy,occurrence
1,1,1988,131
2,1,1988,98
3,1,1988,51
4,1,1988,60
5,1,1988,57
6,1,1988,67
7,1,1988,69
8,1,1988,62
9,1,1988,47
10,1,1988,72
11,1,1988,57
12,1,1988,64
13,1,1988,77
14,1,1988,72
15,1,1988,69
16,1,1988,56
17,1,1988,60
18,1,1988,68
19,1,1988,58
20,1,1988,62
21,1,1988,83
22,1,1988,82
23,1,1988,58
24,1,1988,56
25,1,1988,61
26,1,1988,59
27,1,1988,73
28,1,1988,68
29,1,1988,61
30,1,1988,60
31,1,1988,45
1,2,1988,72
2,2,1988,116
3,2,1988,51
4,2,1988,61
5,2,1988,72
6,2,1988,60
7,2,1988,55
8,2,1988,53
9,2,1988,82
10,2,1988,64
11,2,1988,67
12,2,1988,87
13,2,1988,47
14,2,1988,65
15,2,1988,61
16,2,1988,66
17,2,1988,67
18,2,1988,74
19,2,1988,63
20,2,1988,68
21,2,1988,69
22,2,1988,80
23,2,1988,73
24,2,1988,72
25,2,1988,67
26,2,1988,60
27,2,1988,55
28,2,1988,58
29,2,1988,65
1,3,1988,91
2,3,1988,81
3,3,1988,75
4,3,1988,42
5,3,1988,59
6,3,1988,60
7,3,1988,60
8,3,1988,68
9,3,1988,79
10,3,1988,88
11,3,1988,80
12,3,1988,70
13,3,1988,57
14,3,1988,76
15,3,1988,76
16,3,1988,71
17,3,1988,66
18,3,1988,66
19,3,1988,49
20,3,1988,67
21,3,1988,105
22,3,1988,49
23,3,1988,70
24,3,1988,76
25,3,1988,58
26,3,1988,79
27,3,1988,55
28,3,1988,62
29,3,1988,69
30,3,1988,83
31,3,1988,80
1,4,1988,84
2,4,1988,98
3,4,1988,58
4,4,1988,87
5,4,1988,54
6,4,1988,76
7,4,1988,65
8,4,1988,65
9,4,1988,59
10,4,1988,46
11,4,1988,65
12,4,1988,75
13,4,1988,91
14,4,1988,77
15,4,1988,79
16,4,1988,74
17,4,1988,55
18,4,1988,61
19,4,1988,64
20,4,1988,70
21,4,1988,60
22,4,1988,81
23,4,1988,69
24,4,1988,69
25,4,1988,87
26,4,1988,64
27,4,1988,60
28,4,1988,66
29,4,1988,73
30,4,1988,59
1,5,1988,72
2,5,1988,91
3,5,1988,69
4,5,1988,73
5,5,1988,64
6,5,1988,64
7,5,1988,64
8,5,1988,39
9,5,1988,62
10,5,1988,68
11,5,1988,66
12,5,1988,89
13,5,1988,65
14,5,1988,50
15,5,1988,51
16,5,1988,80
17,5,1988,82
18,5,1988,79
19,5,1988,59
20,5,1988,79
21,5,1988,78
22,5,1988,69
23,5,1988,61
24,5,1988,57
25,5,1988,69
26,5,1988,68
27,5,1988,55
28,5,1988,64
29,5,1988,62
30,5,1988,70
31,5,1988,64
1,6,1988,77
2,6,1988,94
3,6,1988,65
4,6,1988,65
5,6,1988,68
6,6,1988,64
7,6,1988,67
8,6,1988,57
9,6,1988,55
10,6,1988,64
11,6,1988,66
12,6,1988,76
13,6,1988,52
14,6,1988,64
15,6,1988,72
16,6,1988,66
17,6,1988,83
18,6,1988,56
19,6,1988,48
20,6,1988,78
21,6,1988,68
22,6,1988,81
23,6,1988,67
24,6,1988,75
25,6,1988,61
26,6,1988,54
27,6,1988,83
28,6,1988,67
29,6,1988,68
30,6,1988,68
1,7,1988,63
2,7,1988,92
3,7,1988,48
4,7,1988,71
5,7,1988,77
6,7,1988,63
7,7,1988,72
8,7,1988,70
9,7,1988,56
10,7,1988,79
11,7,1988,73
12,7,1988,77
13,7,1988,59
14,7,1988,70
15,7,1988,75
16,7,1988,62
17,7,1988,48
18,7,1988,61
19,7,1988,77
20,7,1988,59
21,7,1988,54
22,7,1988,69
23,7,1988,68
24,7,1988,65
25,7,1988,56
26,7,1988,49
27,7,1988,64
28,7,1988,69
29,7,1988,63
30,7,1988,51
31,7,1988,57
1,8,1988,79
2,8,1988,117
3,8,1988,64
4,8,1988,44
5,8,1988,71
6,8,1988,64
7,8,1988,48
8,8,1988,87
9,8,1988,65
10,8,1988,67
11,8,1988,67
12,8,1988,70
13,8,1988,58
14,8,1988,74
15,8,1988,74
16,8,1988,63
17,8,1988,61
18,8,1988,77
19,8,1988,64
20,8,1988,53
21,8,1988,56
22,8,1988,43
23,8,1988,58
24,8,1988,72
25,8,1988,87
26,8,1988,52
27,8,1988,59
28,8,1988,54
29,8,1988,61
30,8,1988,58
31,8,1988,50
1,9,1988,69
2,9,1988,75
3,9,1988,67
4,9,1988,40
5,9,1988,76
6,9,1988,50
7,9,1988,68
8,9,1988,70
9,9,1988,71
10,9,1988,63
11,9,1988,63
12,9,1988,72
13,9,1988,65
14,9,1988,67
15,9,1988,75
16,9,1988,70
17,9,1988,48
18,9,1988,53
19,9,1988,79
20,9,1988,78
21,9,1988,62
22,9,1988,82
23,9,1988,58
24,9,1988,52
25,9,1988,67
26,9,1988,55
27,9,1988,55
28,9,1988,58
29,9,1988,59
30,9,1988,54
1,10,1988,89
2,10,1988,46
3,10,1988,46
4,10,1988,40
5,10,1988,49
6,10,1988,66
7,10,1988,50
8,10,1988,50
9,10,1988,56
10,10,1988,60
11,10,1988,61
12,10,1988,55
13,10,1988,46
14,10,1988,44
15,10,1988,66
16,10,1988,52
17,10,1988,69
18,10,1988,61
19,10,1988,66
20,10,1988,58
21,10,1988,92
22,10,1988,66
23,10,1988,48
24,10,1988,73
25,10,1988,75
26,10,1988,66
27,10,1988,58
28,10,1988,50
29,10,1988,35
30,10,1988,57
31,10,1988,59
1,11,1988,51
2,11,1988,44
3,11,1988,45
4,11,1988,71
5,11,1988,51
6,11,1988,46
7,11,1988,43
8,11,1988,32
9,11,1988,53
10,11,1988,64
11,11,1988,57
12,11,1988,56
13,11,1988,60
14,11,1988,59
15,11,1988,75
16,11,1988,49
17,11,1988,63
18,11,1988,58
19,11,1988,53
20,11,1988,44
21,11,1988,53
22,11,1988,67
23,11,1988,52
24,11,1988,60
25,11,1988,70
26,11,1988,51
27,11,1988,51
28,11,1988,56
29,11,1988,66
30,11,1988,58
1,12,1988,84
2,12,1988,57
3,12,1988,41
4,12,1988,60
5,12,1988,68
6,12,1988,57
7,12,1988,52
8,12,1988,46
9,12,1988,47
10,12,1988,58
11,12,1988,48
12,12,1988,82
13,12,1988,59
14,12,1988,63
15,12,1988,50
16,12,1988,55
17,12,1988,52
18,12,1988,56
19,12,1988,70
20,12,1988,69
21,12,1988,65
22,12,1988,60
23,12,1988,52
24,12,1988,65
25,12,1988,51
26,12,1988,57
27,12,1988,74
28,12,1988,63
29,12,1988,68
30,12,1988,68
31,12,1988,68
