dd,mm,yy,occurrence
1,1,2008,43
2,1,2008,11
3,1,2008,7
4,1,2008,6
5,1,2008,6
6,1,2008,2
7,1,2008,5
8,1,2008,6
9,1,2008,5
10,1,2008,8
11,1,2008,15
12,1,2008,5
13,1,2008,3
14,1,2008,5
15,1,2008,7
16,1,2008,9
17,1,2008,6
18,1,2008,4
19,1,2008,10
20,1,2008,8
21,1,2008,5
22,1,2008,4
23,1,2008,10
24,1,2008,7
25,1,2008,7
26,1,2008,4
27,1,2008,2
28,1,2008,4
29,1,2008,6
30,1,2008,6
31,1,2008,7
1,2,2008,22
2,2,2008,43
3,2,2008,19
4,2,2008,9
5,2,2008,8
6,2,2008,3
7,2,2008,4
8,2,2008,6
9,2,2008,2
10,2,2008,6
11,2,2008,5
12,2,2008,8
13,2,2008,4
14,2,2008,7
15,2,2008,8
16,2,2008,14
17,2,2008,7
18,2,2008,3
19,2,2008,8
20,2,2008,15
21,2,2008,12
22,2,2008,11
23,2,2008,9
24,2,2008,8
25,2,2008,5
26,2,2008,3
27,2,2008,4
28,2,2008,6
29,2,2008,15
1,3,2008,23
2,3,2008,29
3,3,2008,28
4,3,2008,19
5,3,2008,11
6,3,2008,4
7,3,2008,6
8,3,2008,6
9,3,2008,2
10,3,2008,3
11,3,2008,5
12,3,2008,5
13,3,2008,7
14,3,2008,7
15,3,2008,8
16,3,2008,2
17,3,2008,4
18,3,2008,4
19,3,2008,4
20,3,2008,11
21,3,2008,9
22,3,2008,4
23,3,2008,7
24,3,2008,6
25,3,2008,4
26,3,2008,2
27,3,2008,8
28,3,2008,8
29,3,2008,2
30,3,2008,2
31,3,2008,3
1,4,2008,11
2,4,2008,14
3,4,2008,18
4,4,2008,13
5,4,2008,8
6,4,2008,5
7,4,2008,2
8,4,2008,7
9,4,2008,6
10,4,2008,11
11,4,2008,8
12,4,2008,11
13,4,2008,3
14,4,2008,9
15,4,2008,2
16,4,2008,9
17,4,2008,8
18,4,2008,11
19,4,2008,6
20,4,2008,10
21,4,2008,8
22,4,2008,7
23,4,2008,3
24,4,2008,7
25,4,2008,8
26,4,2008,3
27,4,2008,6
28,4,2008,9
29,4,2008,6
30,4,2008,7
1,5,2008,9
2,5,2008,8
3,5,2008,8
4,5,2008,16
5,5,2008,13
6,5,2008,6
7,5,2008,9
8,5,2008,3
9,5,2008,4
10,5,2008,9
11,5,2008,7
12,5,2008,10
13,5,2008,7
14,5,2008,14
15,5,2008,12
16,5,2008,9
17,5,2008,8
18,5,2008,5
19,5,2008,12
20,5,2008,12
21,5,2008,7
22,5,2008,5
23,5,2008,7
24,5,2008,5
25,5,2008,8
26,5,2008,10
27,5,2008,9
28,5,2008,5
29,5,2008,4
30,5,2008,18
31,5,2008,6
1,6,2008,5
2,6,2008,8
3,6,2008,7
4,6,2008,6
5,6,2008,11
6,6,2008,8
7,6,2008,8
8,6,2008,3
9,6,2008,3
10,6,2008,14
11,6,2008,5
12,6,2008,7
13,6,2008,9
14,6,2008,10
15,6,2008,9
16,6,2008,5
17,6,2008,9
18,6,2008,5
19,6,2008,5
20,6,2008,14
21,6,2008,15
22,6,2008,2
23,6,2008,7
24,6,2008,4
25,6,2008,7
26,6,2008,10
27,6,2008,6
28,6,2008,14
29,6,2008,2
30,6,2008,8
1,7,2008,6
2,7,2008,12
3,7,2008,6
4,7,2008,9
5,7,2008,7
6,7,2008,1
7,7,2008,10
8,7,2008,4
9,7,2008,6
10,7,2008,8
11,7,2008,11
12,7,2008,13
13,7,2008,4
14,7,2008,16
15,7,2008,8
16,7,2008,8
17,7,2008,7
18,7,2008,8
19,7,2008,4
20,7,2008,26
21,7,2008,3
22,7,2008,12
23,7,2008,12
24,7,2008,9
25,7,2008,10
26,7,2008,3
27,7,2008,4
28,7,2008,14
29,7,2008,4
30,7,2008,7
31,7,2008,7
1,8,2008,12
2,8,2008,16
3,8,2008,7
4,8,2008,8
5,8,2008,5
6,8,2008,7
7,8,2008,8
8,8,2008,38
9,8,2008,7
10,8,2008,7
11,8,2008,8
12,8,2008,11
13,8,2008,3
14,8,2008,8
15,8,2008,18
16,8,2008,12
17,8,2008,11
18,8,2008,8
19,8,2008,8
20,8,2008,74
21,8,2008,9
22,8,2008,7
23,8,2008,9
24,8,2008,3
25,8,2008,6
26,8,2008,4
27,8,2008,6
28,8,2008,7
29,8,2008,6
30,8,2008,18
31,8,2008,5
1,9,2008,33
2,9,2008,5
3,9,2008,6
4,9,2008,8
5,9,2008,10
6,9,2008,5
7,9,2008,7
8,9,2008,2
9,9,2008,6
10,9,2008,4
11,9,2008,6
12,9,2008,20
13,9,2008,12
14,9,2008,3
15,9,2008,4
16,9,2008,8
17,9,2008,6
18,9,2008,7
19,9,2008,8
20,9,2008,7
21,9,2008,11
22,9,2008,4
23,9,2008,12
24,9,2008,11
25,9,2008,6
26,9,2008,5
27,9,2008,7
28,9,2008,5
29,9,2008,1
30,9,2008,8
1,10,2008,33
2,10,2008,6
3,10,2008,2
4,10,2008,4
5,10,2008,4
6,10,2008,6
7,10,2008,5
8,10,2008,10
9,10,2008,2
10,10,2008,13
11,10,2008,8
12,10,2008,6
13,10,2008,2
14,10,2008,4
15,10,2008,24
16,10,2008,3
17,10,2008,1
18,10,2008,4
19,10,2008,7
20,10,2008,3
21,10,2008,7
22,10,2008,5
23,10,2008,7
24,10,2008,1
25,10,2008,10
26,10,2008,10
27,10,2008,3
28,10,2008,5
29,10,2008,8
30,10,2008,8
31,10,2008,6
1,11,2008,9
2,11,2008,7
3,11,2008,7
4,11,2008,4
5,11,2008,1
6,11,2008,5
7,11,2008,10
8,11,2008,2
9,11,2008,2
10,11,2008,13
11,11,2008,10
12,11,2008,8
13,11,2008,10
14,11,2008,8
15,11,2008,13
16,11,2008,4
17,11,2008,10
18,11,2008,5
19,11,2008,8
20,11,2008,5
21,11,2008,9
22,11,2008,8
23,11,2008,5
24,11,2008,8
25,11,2008,3
26,11,2008,6
27,11,2008,10
28,11,2008,9
29,11,2008,5
30,11,2008,10
1,12,2008,4
2,12,2008,5
3,12,2008,6
4,12,2008,5
5,12,2008,7
6,12,2008,3
7,12,2008,5
8,12,2008,2
9,12,2008,8
10,12,2008,4
11,12,2008,6
12,12,2008,11
13,12,2008,13
14,12,2008,6
15,12,2008,12
16,12,2008,9
17,12,2008,8
18,12,2008,6
19,12,2008,8
20,12,2008,7
21,12,2008,6
22,12,2008,5
23,12,2008,11
24,12,2008,6
25,12,2008,15
26,12,2008,8
27,12,2008,7
28,12,2008,4
29,12,2008,10
30,12,2008,4
31,12,2008,36
