dd,mm,yy,occurrence
1,1,1978,90
2,1,1978,60
3,1,1978,33
4,1,1978,28
5,1,1978,31
6,1,1978,32
7,1,1978,34
8,1,1978,25
9,1,1978,35
10,1,1978,47
11,1,1978,44
12,1,1978,47
13,1,1978,34
14,1,1978,36
15,1,1978,40
16,1,1978,42
17,1,1978,36
18,1,1978,36
19,1,1978,32
20,1,1978,31
21,1,1978,31
22,1,1978,38
23,1,1978,40
24,1,1978,41
25,1,1978,42
26,1,1978,33
27,1,1978,37
28,1,1978,33
29,1,1978,35
30,1,1978,48
31,1,1978,45
1,2,1978,39
2,2,1978,64
3,2,1978,46
4,2,1978,31
5,2,1978,38
6,2,1978,31
7,2,1978,44
8,2,1978,38
9,2,1978,38
10,2,1978,43
11,2,1978,45
12,2,1978,37
13,2,1978,33
14,2,1978,48
15,2,1978,51
16,2,1978,43
17,2,1978,40
18,2,1978,43
19,2,1978,36
20,2,1978,39
21,2,1978,42
22,2,1978,49
23,2,1978,50
24,2,1978,42
25,2,1978,56
26,2,1978,41
27,2,1978,34
28,2,1978,47
1,3,1978,46
2,3,1978,76
3,3,1978,39
4,3,1978,33
5,3,1978,31
6,3,1978,35
7,3,1978,35
8,3,1978,45
9,3,1978,34
10,3,1978,35
11,3,1978,33
12,3,1978,42
13,3,1978,38
14,3,1978,49
15,3,1978,40
16,3,1978,33
17,3,1978,44
18,3,1978,46
19,3,1978,36
20,3,1978,24
21,3,1978,40
22,3,1978,47
23,3,1978,48
24,3,1978,36
25,3,1978,36
26,3,1978,34
27,3,1978,37
28,3,1978,39
29,3,1978,32
30,3,1978,27
31,3,1978,49
1,4,1978,36
2,4,1978,75
3,4,1978,37
4,4,1978,35
5,4,1978,27
6,4,1978,39
7,4,1978,45
8,4,1978,38
9,4,1978,35
10,4,1978,30
11,4,1978,33
12,4,1978,53
13,4,1978,46
14,4,1978,36
15,4,1978,47
16,4,1978,50
17,4,1978,45
18,4,1978,39
19,4,1978,46
20,4,1978,32
21,4,1978,50
22,4,1978,42
23,4,1978,42
24,4,1978,42
25,4,1978,31
26,4,1978,40
27,4,1978,41
28,4,1978,38
29,4,1978,35
30,4,1978,43
1,5,1978,36
2,5,1978,78
3,5,1978,31
4,5,1978,39
5,5,1978,38
6,5,1978,36
7,5,1978,36
8,5,1978,49
9,5,1978,52
10,5,1978,34
11,5,1978,39
12,5,1978,38
13,5,1978,46
14,5,1978,36
15,5,1978,48
16,5,1978,42
17,5,1978,32
18,5,1978,40
19,5,1978,45
20,5,1978,33
21,5,1978,27
22,5,1978,36
23,5,1978,47
24,5,1978,35
25,5,1978,33
26,5,1978,29
27,5,1978,30
28,5,1978,39
29,5,1978,38
30,5,1978,42
31,5,1978,22
1,6,1978,45
2,6,1978,68
3,6,1978,34
4,6,1978,33
5,6,1978,43
6,6,1978,46
7,6,1978,31
8,6,1978,37
9,6,1978,47
10,6,1978,42
11,6,1978,42
12,6,1978,41
13,6,1978,38
14,6,1978,43
15,6,1978,34
16,6,1978,42
17,6,1978,35
18,6,1978,44
19,6,1978,33
20,6,1978,33
21,6,1978,32
22,6,1978,39
23,6,1978,40
24,6,1978,36
25,6,1978,35
26,6,1978,32
27,6,1978,33
28,6,1978,34
29,6,1978,28
30,6,1978,43
1,7,1978,52
2,7,1978,76
3,7,1978,50
4,7,1978,31
5,7,1978,44
6,7,1978,39
7,7,1978,53
8,7,1978,32
9,7,1978,29
10,7,1978,38
11,7,1978,46
12,7,1978,36
13,7,1978,33
14,7,1978,37
15,7,1978,40
16,7,1978,29
17,7,1978,34
18,7,1978,29
19,7,1978,30
20,7,1978,31
21,7,1978,39
22,7,1978,38
23,7,1978,39
24,7,1978,42
25,7,1978,56
26,7,1978,40
27,7,1978,40
28,7,1978,52
29,7,1978,31
30,7,1978,30
