dd,mm,yy,occurrence
1,1,1959,37
2,1,1959,15
3,1,1959,19
4,1,1959,12
5,1,1959,15
6,1,1959,13
7,1,1959,13
8,1,1959,15
9,1,1959,16
10,1,1959,11
11,1,1959,18
12,1,1959,12
13,1,1959,15
14,1,1959,9
15,1,1959,14
16,1,1959,22
17,1,1959,10
18,1,1959,9
19,1,1959,18
20,1,1959,15
21,1,1959,16
22,1,1959,10
23,1,1959,12
24,1,1959,20
25,1,1959,17
26,1,1959,10
27,1,1959,11
28,1,1959,12
29,1,1959,16
30,1,1959,5
31,1,1959,17
1,2,1959,18
2,2,1959,19
3,2,1959,11
4,2,1959,11
5,2,1959,12
6,2,1959,10
7,2,1959,8
8,2,1959,12
9,2,1959,12
10,2,1959,24
11,2,1959,17
12,2,1959,10
13,2,1959,11
14,2,1959,13
15,2,1959,14
16,2,1959,17
17,2,1959,13
18,2,1959,16
19,2,1959,19
20,2,1959,11
21,2,1959,13
22,2,1959,16
23,2,1959,13
24,2,1959,12
25,2,1959,14
26,2,1959,16
27,2,1959,13
28,2,1959,14
1,3,1959,11
2,3,1959,16
3,3,1959,16
4,3,1959,19
5,3,1959,16
6,3,1959,11
7,3,1959,7
8,3,1959,15
9,3,1959,6
10,3,1959,15
11,3,1959,18
12,3,1959,14
13,3,1959,9
14,3,1959,8
15,3,1959,15
16,3,1959,19
17,3,1959,10
18,3,1959,16
19,3,1959,22
20,3,1959,10
21,3,1959,17
22,3,1959,14
23,3,1959,14
24,3,1959,18
25,3,1959,29
26,3,1959,9
27,3,1959,13
28,3,1959,11
29,3,1959,10
30,3,1959,18
31,3,1959,13
1,4,1959,14
2,4,1959,21
3,4,1959,13
4,4,1959,14
5,4,1959,13
6,4,1959,8
7,4,1959,13
8,4,1959,10
9,4,1959,15
10,4,1959,19
11,4,1959,16
12,4,1959,13
13,4,1959,12
14,4,1959,13
15,4,1959,17
16,4,1959,16
17,4,1959,11
18,4,1959,13
19,4,1959,17
20,4,1959,9
21,4,1959,8
22,4,1959,12
23,4,1959,9
24,4,1959,12
25,4,1959,14
26,4,1959,9
27,4,1959,13
28,4,1959,20
29,4,1959,13
30,4,1959,13
1,5,1959,20
2,5,1959,13
3,5,1959,13
4,5,1959,8
5,5,1959,16
6,5,1959,12
7,5,1959,17
8,5,1959,13
9,5,1959,12
10,5,1959,10
11,5,1959,7
12,5,1959,10
13,5,1959,12
14,5,1959,18
15,5,1959,16
16,5,1959,11
17,5,1959,17
18,5,1959,11
19,5,1959,13
20,5,1959,14
21,5,1959,3
22,5,1959,7
23,5,1959,16
24,5,1959,12
25,5,1959,19
26,5,1959,18
27,5,1959,16
28,5,1959,10
29,5,1959,20
30,5,1959,9
31,5,1959,10
1,6,1959,15
2,6,1959,11
3,6,1959,16
4,6,1959,9
5,6,1959,11
6,6,1959,10
7,6,1959,8
8,6,1959,11
9,6,1959,11
10,6,1959,10
11,6,1959,9
12,6,1959,10
13,6,1959,6
14,6,1959,12
15,6,1959,11
16,6,1959,11
17,6,1959,16
18,6,1959,17
19,6,1959,8
20,6,1959,6
21,6,1959,10
22,6,1959,11
23,6,1959,4
24,6,1959,12
25,6,1959,11
26,6,1959,8
27,6,1959,10
28,6,1959,21
29,6,1959,6
30,6,1959,10
1,7,1959,10
2,7,1959,17
3,7,1959,18
4,7,1959,15
5,7,1959,8
6,7,1959,7
7,7,1959,16
8,7,1959,10
9,7,1959,11
10,7,1959,9
11,7,1959,22
12,7,1959,21
13,7,1959,12
14,7,1959,8
15,7,1959,18
16,7,1959,15
17,7,1959,9
18,7,1959,11
19,7,1959,11
20,7,1959,14
21,7,1959,7
22,7,1959,12
23,7,1959,11
24,7,1959,9
25,7,1959,16
26,7,1959,18
27,7,1959,9
28,7,1959,14
29,7,1959,8
30,7,1959,12
31,7,1959,8
1,8,1959,21
2,8,1959,19
3,8,1959,13
4,8,1959,16
5,8,1959,15
6,8,1959,8
7,8,1959,19
8,8,1959,15
9,8,1959,10
10,8,1959,16
11,8,1959,17
12,8,1959,16
13,8,1959,15
14,8,1959,13
15,8,1959,12
16,8,1959,9
17,8,1959,8
18,8,1959,10
19,8,1959,9
20,8,1959,7
21,8,1959,8
22,8,1959,9
23,8,1959,10
24,8,1959,13
25,8,1959,11
26,8,1959,11
27,8,1959,5
28,8,1959,11
29,8,1959,5
30,8,1959,14
31,8,1959,5
1,9,1959,16
2,9,1959,15
3,9,1959,16
4,9,1959,6
5,9,1959,11
6,9,1959,13
7,9,1959,9
8,9,1959,14
9,9,1959,18
10,9,1959,10
11,9,1959,12
12,9,1959,13
13,9,1959,17
14,9,1959,15
15,9,1959,15
16,9,1959,18
17,9,1959,18
18,9,1959,12
19,9,1959,11
20,9,1959,11
21,9,1959,13
22,9,1959,9
23,9,1959,11
24,9,1959,15
25,9,1959,12
26,9,1959,9
27,9,1959,20
28,9,1959,15
29,9,1959,14
30,9,1959,12
1,10,1959,14
2,10,1959,8
3,10,1959,7
4,10,1959,9
5,10,1959,18
6,10,1959,7
7,10,1959,10
8,10,1959,13
9,10,1959,12
10,10,1959,10
11,10,1959,12
12,10,1959,9
13,10,1959,12
14,10,1959,10
15,10,1959,14
16,10,1959,9
17,10,1959,5
18,10,1959,12
19,10,1959,13
20,10,1959,14
21,10,1959,14
22,10,1959,15
23,10,1959,11
24,10,1959,15
25,10,1959,16
26,10,1959,10
27,10,1959,6
28,10,1959,7
29,10,1959,14
30,10,1959,10
31,10,1959,10
1,11,1959,12
2,11,1959,8
3,11,1959,13
4,11,1959,18
5,11,1959,15
6,11,1959,15
7,11,1959,20
8,11,1959,8
9,11,1959,11
10,11,1959,17
11,11,1959,9
12,11,1959,10
13,11,1959,14
14,11,1959,12
15,11,1959,10
16,11,1959,11
17,11,1959,16
18,11,1959,10
19,11,1959,11
