dd,mm,yy,occurrence
1,1,1971,76
2,1,1971,61
3,1,1971,22
4,1,1971,21
5,1,1971,20
6,1,1971,16
7,1,1971,21
8,1,1971,21
9,1,1971,23
10,1,1971,32
11,1,1971,24
12,1,1971,18
13,1,1971,29
14,1,1971,21
15,1,1971,25
16,1,1971,15
17,1,1971,34
18,1,1971,22
19,1,1971,25
20,1,1971,22
21,1,1971,27
22,1,1971,27
23,1,1971,21
24,1,1971,24
25,1,1971,25
26,1,1971,24
27,1,1971,17
28,1,1971,22
29,1,1971,22
30,1,1971,23
31,1,1971,20
1,2,1971,26
2,2,1971,70
3,2,1971,19
4,2,1971,19
5,2,1971,29
6,2,1971,27
7,2,1971,22
8,2,1971,22
9,2,1971,27
10,2,1971,34
11,2,1971,33
12,2,1971,19
13,2,1971,26
14,2,1971,19
15,2,1971,18
16,2,1971,22
17,2,1971,13
18,2,1971,25
19,2,1971,22
20,2,1971,28
21,2,1971,19
22,2,1971,31
23,2,1971,29
24,2,1971,20
25,2,1971,21
26,2,1971,25
27,2,1971,25
28,2,1971,16
1,3,1971,26
2,3,1971,53
3,3,1971,33
4,3,1971,23
5,3,1971,25
6,3,1971,21
7,3,1971,16
8,3,1971,40
9,3,1971,20
10,3,1971,35
11,3,1971,25
12,3,1971,25
13,3,1971,22
14,3,1971,22
15,3,1971,19
16,3,1971,29
17,3,1971,23
18,3,1971,21
19,3,1971,25
20,3,1971,22
21,3,1971,26
22,3,1971,27
23,3,1971,22
24,3,1971,23
25,3,1971,28
26,3,1971,24
27,3,1971,21
28,3,1971,21
29,3,1971,26
30,3,1971,28
31,3,1971,18
1,4,1971,30
2,4,1971,54
3,4,1971,24
4,4,1971,24
5,4,1971,18
6,4,1971,23
7,4,1971,32
8,4,1971,27
9,4,1971,20
10,4,1971,30
11,4,1971,27
12,4,1971,25
13,4,1971,31
14,4,1971,23
15,4,1971,26
16,4,1971,21
17,4,1971,21
18,4,1971,23
19,4,1971,28
20,4,1971,22
21,4,1971,19
22,4,1971,16
23,4,1971,27
24,4,1971,24
25,4,1971,28
26,4,1971,24
27,4,1971,25
28,4,1971,30
29,4,1971,18
30,4,1971,23
1,5,1971,27
2,5,1971,52
3,5,1971,33
4,5,1971,31
5,5,1971,34
6,5,1971,18
7,5,1971,18
8,5,1971,35
9,5,1971,30
10,5,1971,15
11,5,1971,17
12,5,1971,17
13,5,1971,22
14,5,1971,23
15,5,1971,24
16,5,1971,17
17,5,1971,24
18,5,1971,16
19,5,1971,30
20,5,1971,25
21,5,1971,19
22,5,1971,29
23,5,1971,29
24,5,1971,36
25,5,1971,26
26,5,1971,30
27,5,1971,25
28,5,1971,24
29,5,1971,24
30,5,1971,15
31,5,1971,23
1,6,1971,30
2,6,1971,66
3,6,1971,23
4,6,1971,29
5,6,1971,22
6,6,1971,26
7,6,1971,16
8,6,1971,25
9,6,1971,30
10,6,1971,28
11,6,1971,29
12,6,1971,26
13,6,1971,19
14,6,1971,25
15,6,1971,25
16,6,1971,32
17,6,1971,28
18,6,1971,27
19,6,1971,21
20,6,1971,20
21,6,1971,19
22,6,1971,22
23,6,1971,16
24,6,1971,27
25,6,1971,25
26,6,1971,21
27,6,1971,15
28,6,1971,21
29,6,1971,27
30,6,1971,15
1,7,1971,27
2,7,1971,66
3,7,1971,21
4,7,1971,26
5,7,1971,41
6,7,1971,29
7,7,1971,20
8,7,1971,30
9,7,1971,14
10,7,1971,26
11,7,1971,32
12,7,1971,27
13,7,1971,32
14,7,1971,23
15,7,1971,23
16,7,1971,17
17,7,1971,27
18,7,1971,25
19,7,1971,32
20,7,1971,21
21,7,1971,25
22,7,1971,23
23,7,1971,30
24,7,1971,19
25,7,1971,20
26,7,1971,19
27,7,1971,24
28,7,1971,28
29,7,1971,21
30,7,1971,22
31,7,1971,25
1,8,1971,22
2,8,1971,57
3,8,1971,23
4,8,1971,21
5,8,1971,20
6,8,1971,19
7,8,1971,19
8,8,1971,24
9,8,1971,27
10,8,1971,17
11,8,1971,29
12,8,1971,27
13,8,1971,12
14,8,1971,31
15,8,1971,23
16,8,1971,19
17,8,1971,21
18,8,1971,19
19,8,1971,28
20,8,1971,18
21,8,1971,27
22,8,1971,32
23,8,1971,25
24,8,1971,24
25,8,1971,27
26,8,1971,20
27,8,1971,22
28,8,1971,19
29,8,1971,16
30,8,1971,27
31,8,1971,29
1,9,1971,26
2,9,1971,66
3,9,1971,24
4,9,1971,20
5,9,1971,21
6,9,1971,21
7,9,1971,25
8,9,1971,23
9,9,1971,22
10,9,1971,29
11,9,1971,25
12,9,1971,11
13,9,1971,28
14,9,1971,26
15,9,1971,26
16,9,1971,23
17,9,1971,24
18,9,1971,23
19,9,1971,23
20,9,1971,20
21,9,1971,34
22,9,1971,22
23,9,1971,28
24,9,1971,26
25,9,1971,25
26,9,1971,21
27,9,1971,30
28,9,1971,19
29,9,1971,27
30,9,1971,30
1,10,1971,53
2,10,1971,14
3,10,1971,20
4,10,1971,16
5,10,1971,26
6,10,1971,14
7,10,1971,14
8,10,1971,16
9,10,1971,19
10,10,1971,24
11,10,1971,23
12,10,1971,15
13,10,1971,19
14,10,1971,12
15,10,1971,29
16,10,1971,18
17,10,1971,17
18,10,1971,22
19,10,1971,16
20,10,1971,18
21,10,1971,22
22,10,1971,20
23,10,1971,18
24,10,1971,24
25,10,1971,41
26,10,1971,18
27,10,1971,17
28,10,1971,20
29,10,1971,23
30,10,1971,19
31,10,1971,17
1,11,1971,23
2,11,1971,18
3,11,1971,30
4,11,1971,23
5,11,1971,22
6,11,1971,18
7,11,1971,18
8,11,1971,21
9,11,1971,18
10,11,1971,19
11,11,1971,33
12,11,1971,29
13,11,1971,17
14,11,1971,23
15,11,1971,16
16,11,1971,27
17,11,1971,20
18,11,1971,21
19,11,1971,24
20,11,1971,21
21,11,1971,22
22,11,1971,23
23,11,1971,38
24,11,1971,28
25,11,1971,29
26,11,1971,23
27,11,1971,24
28,11,1971,21
29,11,1971,24
30,11,1971,17
1,12,1971,26
2,12,1971,22
3,12,1971,23
4,12,1971,20
5,12,1971,18
6,12,1971,22
7,12,1971,23
8,12,1971,24
9,12,1971,30
10,12,1971,28
11,12,1971,24
12,12,1971,25
13,12,1971,25
14,12,1971,28
15,12,1971,24
16,12,1971,29
17,12,1971,30
18,12,1971,27
19,12,1971,14
