dd,mm,yy,occurrence
1,1,1953,24
2,1,1953,5
3,1,1953,4
4,1,1953,4
5,1,1953,6
6,1,1953,10
7,1,1953,14
8,1,1953,3
9,1,1953,5
10,1,1953,9
11,1,1953,7
12,1,1953,6
13,1,1953,10
14,1,1953,6
15,1,1953,4
16,1,1953,5
17,1,1953,5
18,1,1953,6
19,1,1953,11
20,1,1953,6
21,1,1953,6
22,1,1953,10
23,1,1953,8
24,1,1953,6
25,1,1953,7
26,1,1953,10
27,1,1953,8
28,1,1953,5
29,1,1953,9
30,1,1953,10
31,1,1953,7
1,2,1953,8
2,2,1953,7
3,2,1953,5
4,2,1953,9
5,2,1953,8
6,2,1953,7
7,2,1953,7
8,2,1953,3
9,2,1953,9
10,2,1953,7
11,2,1953,6
12,2,1953,3
13,2,1953,7
14,2,1953,5
15,2,1953,7
16,2,1953,11
17,2,1953,9
18,2,1953,13
19,2,1953,6
20,2,1953,7
21,2,1953,8
22,2,1953,10
23,2,1953,12
24,2,1953,5
25,2,1953,9
26,2,1953,7
27,2,1953,6
28,2,1953,5
1,3,1953,13
2,3,1953,8
3,3,1953,10
4,3,1953,10
5,3,1953,13
6,3,1953,6
7,3,1953,6
8,3,1953,15
9,3,1953,10
10,3,1953,9
11,3,1953,10
12,3,1953,0
13,3,1953,9
14,3,1953,9
15,3,1953,5
16,3,1953,6
17,3,1953,5
18,3,1953,6
19,3,1953,4
20,3,1953,5
21,3,1953,7
22,3,1953,7
23,3,1953,11
24,3,1953,6
25,3,1953,10
26,3,1953,11
27,3,1953,8
28,3,1953,7
29,3,1953,9
30,3,1953,2
31,3,1953,7
1,4,1953,9
2,4,1953,12
3,4,1953,5
4,4,1953,6
5,4,1953,7
6,4,1953,5
7,4,1953,6
8,4,1953,6
9,4,1953,10
10,4,1953,7
11,4,1953,7
12,4,1953,6
13,4,1953,4
14,4,1953,4
15,4,1953,5
16,4,1953,5
17,4,1953,6
18,4,1953,10
19,4,1953,9
20,4,1953,7
21,4,1953,4
22,4,1953,5
23,4,1953,3
24,4,1953,6
25,4,1953,9
26,4,1953,3
27,4,1953,8
28,4,1953,6
29,4,1953,3
30,4,1953,9
1,5,1953,11
2,5,1953,9
3,5,1953,10
4,5,1953,9
5,5,1953,7
6,5,1953,7
7,5,1953,3
8,5,1953,6
9,5,1953,8
10,5,1953,2
11,5,1953,12
12,5,1953,4
13,5,1953,5
14,5,1953,8
15,5,1953,3
16,5,1953,5
17,5,1953,4
18,5,1953,6
19,5,1953,12
20,5,1953,7
21,5,1953,9
22,5,1953,1
23,5,1953,8
24,5,1953,7
25,5,1953,6
26,5,1953,9
27,5,1953,2
28,5,1953,8
29,5,1953,10
30,5,1953,11
31,5,1953,8
1,6,1953,6
2,6,1953,4
3,6,1953,4
4,6,1953,7
5,6,1953,6
6,6,1953,5
7,6,1953,8
8,6,1953,5
9,6,1953,6
10,6,1953,10
11,6,1953,8
12,6,1953,11
13,6,1953,1
14,6,1953,8
15,6,1953,16
16,6,1953,2
17,6,1953,7
18,6,1953,4
19,6,1953,9
20,6,1953,4
21,6,1953,6
22,6,1953,13
23,6,1953,7
24,6,1953,6
25,6,1953,5
26,6,1953,5
27,6,1953,3
28,6,1953,4
29,6,1953,10
30,6,1953,7
1,7,1953,10
2,7,1953,8
3,7,1953,8
4,7,1953,5
5,7,1953,1
6,7,1953,11
7,7,1953,8
8,7,1953,6
9,7,1953,9
10,7,1953,6
11,7,1953,7
12,7,1953,10
13,7,1953,5
14,7,1953,6
15,7,1953,7
16,7,1953,5
17,7,1953,6
18,7,1953,4
19,7,1953,4
20,7,1953,3
21,7,1953,8
22,7,1953,5
23,7,1953,4
24,7,1953,4
25,7,1953,6
26,7,1953,11
27,7,1953,8
28,7,1953,11
29,7,1953,7
30,7,1953,4
31,7,1953,5
1,8,1953,7
2,8,1953,15
3,8,1953,6
4,8,1953,3
5,8,1953,8
6,8,1953,4
7,8,1953,9
8,8,1953,5
9,8,1953,6
10,8,1953,16
11,8,1953,6
12,8,1953,10
13,8,1953,5
14,8,1953,5
15,8,1953,8
16,8,1953,5
17,8,1953,2
18,8,1953,7
19,8,1953,6
20,8,1953,10
21,8,1953,3
22,8,1953,8
23,8,1953,6
24,8,1953,7
25,8,1953,12
26,8,1953,5
27,8,1953,12
28,8,1953,15
29,8,1953,6
30,8,1953,4
31,8,1953,8
1,9,1953,6
2,9,1953,5
3,9,1953,10
4,9,1953,7
5,9,1953,6
6,9,1953,10
7,9,1953,2
8,9,1953,0
9,9,1953,4
10,9,1953,4
11,9,1953,6
12,9,1953,6
13,9,1953,5
14,9,1953,8
15,9,1953,6
16,9,1953,6
17,9,1953,8
18,9,1953,9
19,9,1953,14
20,9,1953,4
21,9,1953,10
22,9,1953,6
23,9,1953,8
24,9,1953,3
25,9,1953,4
26,9,1953,11
27,9,1953,8
28,9,1953,6
29,9,1953,7
30,9,1953,5
1,10,1953,5
2,10,1953,6
3,10,1953,5
4,10,1953,2
5,10,1953,5
6,10,1953,2
7,10,1953,3
8,10,1953,8
9,10,1953,10
10,10,1953,6
11,10,1953,7
12,10,1953,3
13,10,1953,5
14,10,1953,3
15,10,1953,8
16,10,1953,5
17,10,1953,8
18,10,1953,4
19,10,1953,5
20,10,1953,6
21,10,1953,5
22,10,1953,7
23,10,1953,1
24,10,1953,9
25,10,1953,4
26,10,1953,3
27,10,1953,4
28,10,1953,5
29,10,1953,4
30,10,1953,3
31,10,1953,3
1,11,1953,6
2,11,1953,7
3,11,1953,7
4,11,1953,9
5,11,1953,9
6,11,1953,6
7,11,1953,6
8,11,1953,4
9,11,1953,6
10,11,1953,7
11,11,1953,4
12,11,1953,2
13,11,1953,6
14,11,1953,2
15,11,1953,4
16,11,1953,6
17,11,1953,5
18,11,1953,8
19,11,1953,10
20,11,1953,8
21,11,1953,6
22,11,1953,9
23,11,1953,8
24,11,1953,7
25,11,1953,8
26,11,1953,4
27,11,1953,7
28,11,1953,7
29,11,1953,10
30,11,1953,2
1,12,1953,3
2,12,1953,10
3,12,1953,8
4,12,1953,9
5,12,1953,10
6,12,1953,5
7,12,1953,9
8,12,1953,3
9,12,1953,4
10,12,1953,10
11,12,1953,4
12,12,1953,3
13,12,1953,8
14,12,1953,5
15,12,1953,10
16,12,1953,6
17,12,1953,4
18,12,1953,4
19,12,1953,2
20,12,1953,7
21,12,1953,4
22,12,1953,8
23,12,1953,7
24,12,1953,6
25,12,1953,7
26,12,1953,4
27,12,1953,6
28,12,1953,4
29,12,1953,2
30,12,1953,6
31,12,1953,3
