dd,mm,yy,occurrence
1,1,1973,74
2,1,1973,51
3,1,1973,22
4,1,1973,32
5,1,1973,27
6,1,1973,23
7,1,1973,21
8,1,1973,32
9,1,1973,24
10,1,1973,23
11,1,1973,23
12,1,1973,31
13,1,1973,30
14,1,1973,31
15,1,1973,19
16,1,1973,32
17,1,1973,23
18,1,1973,22
19,1,1973,16
20,1,1973,15
21,1,1973,32
22,1,1973,27
23,1,1973,26
24,1,1973,26
25,1,1973,37
26,1,1973,23
27,1,1973,29
28,1,1973,28
29,1,1973,26
30,1,1973,31
31,1,1973,28
1,2,1973,35
2,2,1973,82
3,2,1973,28
4,2,1973,35
5,2,1973,33
6,2,1973,25
7,2,1973,22
8,2,1973,36
9,2,1973,28
10,2,1973,37
11,2,1973,35
12,2,1973,32
13,2,1973,29
14,2,1973,29
15,2,1973,30
16,2,1973,24
17,2,1973,27
18,2,1973,25
19,2,1973,28
20,2,1973,23
21,2,1973,25
22,2,1973,36
23,2,1973,50
24,2,1973,24
25,2,1973,25
26,2,1973,26
27,2,1973,31
28,2,1973,39
1,3,1973,25
2,3,1973,70
3,3,1973,32
4,3,1973,21
5,3,1973,24
6,3,1973,28
7,3,1973,34
8,3,1973,37
9,3,1973,20
10,3,1973,20
11,3,1973,25
12,3,1973,28
13,3,1973,36
14,3,1973,31
15,3,1973,30
16,3,1973,31
17,3,1973,25
18,3,1973,22
19,3,1973,31
20,3,1973,18
21,3,1973,28
22,3,1973,24
23,3,1973,27
24,3,1973,18
25,3,1973,27
26,3,1973,32
27,3,1973,33
28,3,1973,19
29,3,1973,23
30,3,1973,19
31,3,1973,17
1,4,1973,28
2,4,1973,64
3,4,1973,31
4,4,1973,28
5,4,1973,18
6,4,1973,24
7,4,1973,32
8,4,1973,16
9,4,1973,20
10,4,1973,27
11,4,1973,29
12,4,1973,30
13,4,1973,22
14,4,1973,25
15,4,1973,32
16,4,1973,39
17,4,1973,31
18,4,1973,32
19,4,1973,33
20,4,1973,29
21,4,1973,29
22,4,1973,36
23,4,1973,18
24,4,1973,23
25,4,1973,31
26,4,1973,36
27,4,1973,25
28,4,1973,26
29,4,1973,24
30,4,1973,29
1,5,1973,23
2,5,1973,75
3,5,1973,28
4,5,1973,32
5,5,1973,21
6,5,1973,24
7,5,1973,22
8,5,1973,24
9,5,1973,40
10,5,1973,29
11,5,1973,26
12,5,1973,26
13,5,1973,23
14,5,1973,27
15,5,1973,34
16,5,1973,26
17,5,1973,32
18,5,1973,22
19,5,1973,35
20,5,1973,28
21,5,1973,33
22,5,1973,30
23,5,1973,28
24,5,1973,25
25,5,1973,28
26,5,1973,30
27,5,1973,19
28,5,1973,31
29,5,1973,21
30,5,1973,20
31,5,1973,24
1,6,1973,37
2,6,1973,60
3,6,1973,26
4,6,1973,32
5,6,1973,35
6,6,1973,29
7,6,1973,27
8,6,1973,27
9,6,1973,34
10,6,1973,26
11,6,1973,28
12,6,1973,26
13,6,1973,42
14,6,1973,35
15,6,1973,15
16,6,1973,23
17,6,1973,36
18,6,1973,34
19,6,1973,22
20,6,1973,31
21,6,1973,25
22,6,1973,20
23,6,1973,24
24,6,1973,23
25,6,1973,30
26,6,1973,29
27,6,1973,24
28,6,1973,29
29,6,1973,29
30,6,1973,29
1,7,1973,24
2,7,1973,50
3,7,1973,33
4,7,1973,29
5,7,1973,26
6,7,1973,31
7,7,1973,27
8,7,1973,28
9,7,1973,23
10,7,1973,32
11,7,1973,33
12,7,1973,23
13,7,1973,25
14,7,1973,19
15,7,1973,23
16,7,1973,26
17,7,1973,31
18,7,1973,29
19,7,1973,30
20,7,1973,26
21,7,1973,30
22,7,1973,25
23,7,1973,26
24,7,1973,19
25,7,1973,22
26,7,1973,29
27,7,1973,27
28,7,1973,23
29,7,1973,25
30,7,1973,30
31,7,1973,28
