dd,mm,yy,occurrence
1,1,1970,152
2,1,1970,45
3,1,1970,15
4,1,1970,25
5,1,1970,22
6,1,1970,20
7,1,1970,21
8,1,1970,20
9,1,1970,23
10,1,1970,42
11,1,1970,21
12,1,1970,27
13,1,1970,18
14,1,1970,22
15,1,1970,27
16,1,1970,24
17,1,1970,24
18,1,1970,22
19,1,1970,14
20,1,1970,24
21,1,1970,31
22,1,1970,30
23,1,1970,36
24,1,1970,26
25,1,1970,22
26,1,1970,22
27,1,1970,24
28,1,1970,25
29,1,1970,16
30,1,1970,19
31,1,1970,27
1,2,1970,34
2,2,1970,52
3,2,1970,32
4,2,1970,18
5,2,1970,29
6,2,1970,26
7,2,1970,23
8,2,1970,25
9,2,1970,30
10,2,1970,25
11,2,1970,20
12,2,1970,20
13,2,1970,17
14,2,1970,30
15,2,1970,28
16,2,1970,27
17,2,1970,27
18,2,1970,28
19,2,1970,22
20,2,1970,28
21,2,1970,20
22,2,1970,16
23,2,1970,31
24,2,1970,21
25,2,1970,25
26,2,1970,25
27,2,1970,23
28,2,1970,27
1,3,1970,31
2,3,1970,60
3,3,1970,29
4,3,1970,31
5,3,1970,16
6,3,1970,23
7,3,1970,15
8,3,1970,37
9,3,1970,13
10,3,1970,23
11,3,1970,27
12,3,1970,25
13,3,1970,30
14,3,1970,21
15,3,1970,19
16,3,1970,24
17,3,1970,28
18,3,1970,24
19,3,1970,20
20,3,1970,29
21,3,1970,24
22,3,1970,25
23,3,1970,17
24,3,1970,26
25,3,1970,15
26,3,1970,29
27,3,1970,21
28,3,1970,23
29,3,1970,25
30,3,1970,25
31,3,1970,27
1,4,1970,28
2,4,1970,55
3,4,1970,25
4,4,1970,27
5,4,1970,25
6,4,1970,28
7,4,1970,13
8,4,1970,17
9,4,1970,22
10,4,1970,29
11,4,1970,18
12,4,1970,28
13,4,1970,18
14,4,1970,32
15,4,1970,23
16,4,1970,22
17,4,1970,28
18,4,1970,15
19,4,1970,22
20,4,1970,29
21,4,1970,17
22,4,1970,40
23,4,1970,20
24,4,1970,16
25,4,1970,18
26,4,1970,33
27,4,1970,28
28,4,1970,24
29,4,1970,20
30,4,1970,21
1,5,1970,41
2,5,1970,61
3,5,1970,31
4,5,1970,22
5,5,1970,32
6,5,1970,13
7,5,1970,19
8,5,1970,18
9,5,1970,27
10,5,1970,25
11,5,1970,20
12,5,1970,32
13,5,1970,25
14,5,1970,19
15,5,1970,34
16,5,1970,21
17,5,1970,25
18,5,1970,24
19,5,1970,18
20,5,1970,15
21,5,1970,25
22,5,1970,20
23,5,1970,23
24,5,1970,23
25,5,1970,13
26,5,1970,28
27,5,1970,25
28,5,1970,24
29,5,1970,26
30,5,1970,21
31,5,1970,20
1,6,1970,27
2,6,1970,56
3,6,1970,24
4,6,1970,26
5,6,1970,13
6,6,1970,27
7,6,1970,19
8,6,1970,23
9,6,1970,18
10,6,1970,20
11,6,1970,20
12,6,1970,25
13,6,1970,20
14,6,1970,20
15,6,1970,17
16,6,1970,26
17,6,1970,27
18,6,1970,22
19,6,1970,26
20,6,1970,17
21,6,1970,27
22,6,1970,16
23,6,1970,20
24,6,1970,20
25,6,1970,19
26,6,1970,24
27,6,1970,19
28,6,1970,21
29,6,1970,18
30,6,1970,26
1,7,1970,16
2,7,1970,51
3,7,1970,15
4,7,1970,24
5,7,1970,17
6,7,1970,23
7,7,1970,22
8,7,1970,22
9,7,1970,17
10,7,1970,27
11,7,1970,15
12,7,1970,42
13,7,1970,34
14,7,1970,38
15,7,1970,22
16,7,1970,26
