dd,mm,yy,occurrence
1,1,1962,43
2,1,1962,17
3,1,1962,9
4,1,1962,18
5,1,1962,14
6,1,1962,13
7,1,1962,19
8,1,1962,16
9,1,1962,16
10,1,1962,22
11,1,1962,23
12,1,1962,12
13,1,1962,22
14,1,1962,18
15,1,1962,17
16,1,1962,15
17,1,1962,14
18,1,1962,10
19,1,1962,7
20,1,1962,18
21,1,1962,19
22,1,1962,18
23,1,1962,15
24,1,1962,17
25,1,1962,19
26,1,1962,18
27,1,1962,19
28,1,1962,23
29,1,1962,8
30,1,1962,12
31,1,1962,10
1,2,1962,20
2,2,1962,15
3,2,1962,15
4,2,1962,14
5,2,1962,16
6,2,1962,14
7,2,1962,15
8,2,1962,16
9,2,1962,14
10,2,1962,16
11,2,1962,18
12,2,1962,13
13,2,1962,14
14,2,1962,9
15,2,1962,20
16,2,1962,11
17,2,1962,18
18,2,1962,25
19,2,1962,7
20,2,1962,16
21,2,1962,15
22,2,1962,18
23,2,1962,21
24,2,1962,16
25,2,1962,21
26,2,1962,9
27,2,1962,16
28,2,1962,12
1,3,1962,26
2,3,1962,17
3,3,1962,13
4,3,1962,15
5,3,1962,20
6,3,1962,13
7,3,1962,7
8,3,1962,16
9,3,1962,11
10,3,1962,23
11,3,1962,14
12,3,1962,13
13,3,1962,15
14,3,1962,14
15,3,1962,18
16,3,1962,25
17,3,1962,10
18,3,1962,16
19,3,1962,20
20,3,1962,16
21,3,1962,11
22,3,1962,17
23,3,1962,19
24,3,1962,14
25,3,1962,19
26,3,1962,14
27,3,1962,15
28,3,1962,13
29,3,1962,21
30,3,1962,15
31,3,1962,19
1,4,1962,16
2,4,1962,31
3,4,1962,11
4,4,1962,18
5,4,1962,11
6,4,1962,10
7,4,1962,20
8,4,1962,5
9,4,1962,19
10,4,1962,14
11,4,1962,13
12,4,1962,22
13,4,1962,15
14,4,1962,22
15,4,1962,21
16,4,1962,19
17,4,1962,9
18,4,1962,16
19,4,1962,14
20,4,1962,9
21,4,1962,15
22,4,1962,13
23,4,1962,12
24,4,1962,19
