dd,mm,yy,occurrence
1,1,1985,161
2,1,1985,110
3,1,1985,53
4,1,1985,51
5,1,1985,54
6,1,1985,45
7,1,1985,55
8,1,1985,41
9,1,1985,56
10,1,1985,54
11,1,1985,59
12,1,1985,70
13,1,1985,60
14,1,1985,46
15,1,1985,83
16,1,1985,61
17,1,1985,60
18,1,1985,66
19,1,1985,60
20,1,1985,53
21,1,1985,65
22,1,1985,72
23,1,1985,80
24,1,1985,85
25,1,1985,76
26,1,1985,56
27,1,1985,60
28,1,1985,55
29,1,1985,82
30,1,1985,71
31,1,1985,69
1,2,1985,78
2,2,1985,108
3,2,1985,50
4,2,1985,68
5,2,1985,66
6,2,1985,48
7,2,1985,50
8,2,1985,61
9,2,1985,50
10,2,1985,58
11,2,1985,85
12,2,1985,70
13,2,1985,66
14,2,1985,91
15,2,1985,77
16,2,1985,50
17,2,1985,69
18,2,1985,42
19,2,1985,72
20,2,1985,62
21,2,1985,78
22,2,1985,75
23,2,1985,79
24,2,1985,66
25,2,1985,65
26,2,1985,65
27,2,1985,58
28,2,1985,72
1,3,1985,79
2,3,1985,92
3,3,1985,53
4,3,1985,54
5,3,1985,44
6,3,1985,59
7,3,1985,59
8,3,1985,81
9,3,1985,53
10,3,1985,64
11,3,1985,58
12,3,1985,79
13,3,1985,57
14,3,1985,65
15,3,1985,61
16,3,1985,56
17,3,1985,52
18,3,1985,50
19,3,1985,76
20,3,1985,63
21,3,1985,74
22,3,1985,52
23,3,1985,59
24,3,1985,55
25,3,1985,53
26,3,1985,56
27,3,1985,61
28,3,1985,51
29,3,1985,50
30,3,1985,57
31,3,1985,58
1,4,1985,87
2,4,1985,90
3,4,1985,64
4,4,1985,74
5,4,1985,65
6,4,1985,42
7,4,1985,61
8,4,1985,65
9,4,1985,68
10,4,1985,60
11,4,1985,65
12,4,1985,68
13,4,1985,58
14,4,1985,48
15,4,1985,59
16,4,1985,64
17,4,1985,66
18,4,1985,57
19,4,1985,65
20,4,1985,56
21,4,1985,71
22,4,1985,73
23,4,1985,65
24,4,1985,67
25,4,1985,73
26,4,1985,50
27,4,1985,65
28,4,1985,50
29,4,1985,69
30,4,1985,82
1,5,1985,67
2,5,1985,82
3,5,1985,61
4,5,1985,67
5,5,1985,90
6,5,1985,58
7,5,1985,56
8,5,1985,50
9,5,1985,63
10,5,1985,61
11,5,1985,58
12,5,1985,73
13,5,1985,58
14,5,1985,54
15,5,1985,76
16,5,1985,76
17,5,1985,57
18,5,1985,58
19,5,1985,59
20,5,1985,65
21,5,1985,60
22,5,1985,58
23,5,1985,76
24,5,1985,59
25,5,1985,71
26,5,1985,58
27,5,1985,58
28,5,1985,73
29,5,1985,79
30,5,1985,88
31,5,1985,69
1,6,1985,58
2,6,1985,110
3,6,1985,65
4,6,1985,52
5,6,1985,62
6,6,1985,71
7,6,1985,56
8,6,1985,61
9,6,1985,48
10,6,1985,63
11,6,1985,80
12,6,1985,61
13,6,1985,66
14,6,1985,63
15,6,1985,66
16,6,1985,73
17,6,1985,65
18,6,1985,75
19,6,1985,73
20,6,1985,46
21,6,1985,77
22,6,1985,68
23,6,1985,65
24,6,1985,68
25,6,1985,73
26,6,1985,74
27,6,1985,78
28,6,1985,63
29,6,1985,68
30,6,1985,64
1,7,1985,61
2,7,1985,74
3,7,1985,68
4,7,1985,53
5,7,1985,67
6,7,1985,60
7,7,1985,70
8,7,1985,65
9,7,1985,55
10,7,1985,72
11,7,1985,75
12,7,1985,56
13,7,1985,66
14,7,1985,58
15,7,1985,71
16,7,1985,56
17,7,1985,73
18,7,1985,43
19,7,1985,60
20,7,1985,60
21,7,1985,62
22,7,1985,70
23,7,1985,74
24,7,1985,50
25,7,1985,68
26,7,1985,55
27,7,1985,57
28,7,1985,64
29,7,1985,71
30,7,1985,58
31,7,1985,58
1,8,1985,64
2,8,1985,97
3,8,1985,60
4,8,1985,66
5,8,1985,55
6,8,1985,62
7,8,1985,54
8,8,1985,68
9,8,1985,69
10,8,1985,70
11,8,1985,62
12,8,1985,82
13,8,1985,68
14,8,1985,79
15,8,1985,58
16,8,1985,62
17,8,1985,49
18,8,1985,57
19,8,1985,62
20,8,1985,49
21,8,1985,66
22,8,1985,63
23,8,1985,52
24,8,1985,59
25,8,1985,70
26,8,1985,63
27,8,1985,58
28,8,1985,60
29,8,1985,69
30,8,1985,44
31,8,1985,59
1,9,1985,82
2,9,1985,90
3,9,1985,50
4,9,1985,55
5,9,1985,53
6,9,1985,55
7,9,1985,64
8,9,1985,52
9,9,1985,58
10,9,1985,65
11,9,1985,68
12,9,1985,57
13,9,1985,57
14,9,1985,42
15,9,1985,66
16,9,1985,49
17,9,1985,71
18,9,1985,79
19,9,1985,51
20,9,1985,48
21,9,1985,54
22,9,1985,69
23,9,1985,69
24,9,1985,53
25,9,1985,57
26,9,1985,62
27,9,1985,75
28,9,1985,59
29,9,1985,60
30,9,1985,64
1,10,1985,83
2,10,1985,52
3,10,1985,36
4,10,1985,46
5,10,1985,44
6,10,1985,53
7,10,1985,70
8,10,1985,38
9,10,1985,32
10,10,1985,54
11,10,1985,57
12,10,1985,50
13,10,1985,50
14,10,1985,55
15,10,1985,46
16,10,1985,51
17,10,1985,46
18,10,1985,69
19,10,1985,53
20,10,1985,44
21,10,1985,65
22,10,1985,48
23,10,1985,53
24,10,1985,50
25,10,1985,69
26,10,1985,56
27,10,1985,32
28,10,1985,50
29,10,1985,46
30,10,1985,52
31,10,1985,36
1,11,1985,42
2,11,1985,50
3,11,1985,50
4,11,1985,50
5,11,1985,52
6,11,1985,61
7,11,1985,56
8,11,1985,35
9,11,1985,54
10,11,1985,55
11,11,1985,51
12,11,1985,65
13,11,1985,60
14,11,1985,52
15,11,1985,63
16,11,1985,49
17,11,1985,75
18,11,1985,60
19,11,1985,66
20,11,1985,52
21,11,1985,73
22,11,1985,68
23,11,1985,60
24,11,1985,53
25,11,1985,57
26,11,1985,66
27,11,1985,66
28,11,1985,56
29,11,1985,55
30,11,1985,55
1,12,1985,57
2,12,1985,56
3,12,1985,56
4,12,1985,63
5,12,1985,58
6,12,1985,50
7,12,1985,49
8,12,1985,50
9,12,1985,56
10,12,1985,68
11,12,1985,85
12,12,1985,89
13,12,1985,80
14,12,1985,58
15,12,1985,66
16,12,1985,60
17,12,1985,65
18,12,1985,64
19,12,1985,63
20,12,1985,54
21,12,1985,70
22,12,1985,54
23,12,1985,52
24,12,1985,66
25,12,1985,71
26,12,1985,68
27,12,1985,42
28,12,1985,54
29,12,1985,55
30,12,1985,68
31,12,1985,63
