dd,mm,yy,occurrence
1,1,1967,56
2,1,1967,17
3,1,1967,19
4,1,1967,14
5,1,1967,18
6,1,1967,19
7,1,1967,16
8,1,1967,6
9,1,1967,19
10,1,1967,21
11,1,1967,17
12,1,1967,21
13,1,1967,11
14,1,1967,23
15,1,1967,21
16,1,1967,15
17,1,1967,18
18,1,1967,16
19,1,1967,22
20,1,1967,22
21,1,1967,20
22,1,1967,11
23,1,1967,21
24,1,1967,20
25,1,1967,17
26,1,1967,22
27,1,1967,26
28,1,1967,19
29,1,1967,17
30,1,1967,17
31,1,1967,26
1,2,1967,21
2,2,1967,23
3,2,1967,19
4,2,1967,14
5,2,1967,17
6,2,1967,15
7,2,1967,18
8,2,1967,25
9,2,1967,14
10,2,1967,19
11,2,1967,20
12,2,1967,21
13,2,1967,13
14,2,1967,19
15,2,1967,18
16,2,1967,15
17,2,1967,22
18,2,1967,15
19,2,1967,15
20,2,1967,36
21,2,1967,22
22,2,1967,19
23,2,1967,25
24,2,1967,14
25,2,1967,19
26,2,1967,12
27,2,1967,24
28,2,1967,16
1,3,1967,21
2,3,1967,27
3,3,1967,16
4,3,1967,22
5,3,1967,15
6,3,1967,13
7,3,1967,13
8,3,1967,22
9,3,1967,14
10,3,1967,20
11,3,1967,23
12,3,1967,12
13,3,1967,19
14,3,1967,14
15,3,1967,22
16,3,1967,21
17,3,1967,21
18,3,1967,13
19,3,1967,10
20,3,1967,15
21,3,1967,18
22,3,1967,18
23,3,1967,22
24,3,1967,18
25,3,1967,20
26,3,1967,14
27,3,1967,13
28,3,1967,21
29,3,1967,13
30,3,1967,13
31,3,1967,19
1,4,1967,16
2,4,1967,20
3,4,1967,20
4,4,1967,17
5,4,1967,17
6,4,1967,23
7,4,1967,19
8,4,1967,20
9,4,1967,19
10,4,1967,14
11,4,1967,13
12,4,1967,26
13,4,1967,16
14,4,1967,12
15,4,1967,23
16,4,1967,16
17,4,1967,21
18,4,1967,18
19,4,1967,20
20,4,1967,18
21,4,1967,19
22,4,1967,21
23,4,1967,22
24,4,1967,12
25,4,1967,20
26,4,1967,20
27,4,1967,20
28,4,1967,19
29,4,1967,22
30,4,1967,20
1,5,1967,31
2,5,1967,18
3,5,1967,13
4,5,1967,18
5,5,1967,16
6,5,1967,14
7,5,1967,22
8,5,1967,15
9,5,1967,21
10,5,1967,18
11,5,1967,19
12,5,1967,22
13,5,1967,11
14,5,1967,17
15,5,1967,18
16,5,1967,19
17,5,1967,18
18,5,1967,11
19,5,1967,15
20,5,1967,10
21,5,1967,20
22,5,1967,16
23,5,1967,19
24,5,1967,18
25,5,1967,22
26,5,1967,21
27,5,1967,15
28,5,1967,21
29,5,1967,16
30,5,1967,12
31,5,1967,17
1,6,1967,26
2,6,1967,13
3,6,1967,15
4,6,1967,11
5,6,1967,14
6,6,1967,14
7,6,1967,16
8,6,1967,18
9,6,1967,22
10,6,1967,19
11,6,1967,17
12,6,1967,24
13,6,1967,13
14,6,1967,11
15,6,1967,11
16,6,1967,17
17,6,1967,16
18,6,1967,21
19,6,1967,19
20,6,1967,16
21,6,1967,18
22,6,1967,24
23,6,1967,9
24,6,1967,23
25,6,1967,22
26,6,1967,12
27,6,1967,20
28,6,1967,15
29,6,1967,22
30,6,1967,17
1,7,1967,27
2,7,1967,15
3,7,1967,18
4,7,1967,18
5,7,1967,12
