dd,mm,yy,occurrence
1,1,1998,55
2,1,1998,22
3,1,1998,14
4,1,1998,14
5,1,1998,24
6,1,1998,23
7,1,1998,29
8,1,1998,31
9,1,1998,19
10,1,1998,17
11,1,1998,23
12,1,1998,19
13,1,1998,30
14,1,1998,23
15,1,1998,24
16,1,1998,26
17,1,1998,16
18,1,1998,21
19,1,1998,19
20,1,1998,23
21,1,1998,31
22,1,1998,33
23,1,1998,27
24,1,1998,16
25,1,1998,24
26,1,1998,17
27,1,1998,17
28,1,1998,24
29,1,1998,14
30,1,1998,30
31,1,1998,21
1,2,1998,35
2,2,1998,29
3,2,1998,26
4,2,1998,16
5,2,1998,22
6,2,1998,24
7,2,1998,16
8,2,1998,13
9,2,1998,25
10,2,1998,27
11,2,1998,21
12,2,1998,34
13,2,1998,28
14,2,1998,28
15,2,1998,18
16,2,1998,25
17,2,1998,15
18,2,1998,21
19,2,1998,30
20,2,1998,24
21,2,1998,27
22,2,1998,12
23,2,1998,28
24,2,1998,23
25,2,1998,20
26,2,1998,14
27,2,1998,21
28,2,1998,24
1,3,1998,26
2,3,1998,21
3,3,1998,23
4,3,1998,29
5,3,1998,30
6,3,1998,10
7,3,1998,18
8,3,1998,15
9,3,1998,16
10,3,1998,26
11,3,1998,28
12,3,1998,27
13,3,1998,16
14,3,1998,17
15,3,1998,16
16,3,1998,16
17,3,1998,16
18,3,1998,29
19,3,1998,17
20,3,1998,27
21,3,1998,16
22,3,1998,22
23,3,1998,19
24,3,1998,18
25,3,1998,30
26,3,1998,20
27,3,1998,32
28,3,1998,22
29,3,1998,21
30,3,1998,24
31,3,1998,18
1,4,1998,34
2,4,1998,21
3,4,1998,38
4,4,1998,25
5,4,1998,18
6,4,1998,18
7,4,1998,26
8,4,1998,19
9,4,1998,16
10,4,1998,19
11,4,1998,15
12,4,1998,21
13,4,1998,29
14,4,1998,27
15,4,1998,19
16,4,1998,34
17,4,1998,15
18,4,1998,16
19,4,1998,22
20,4,1998,11
21,4,1998,22
22,4,1998,22
23,4,1998,13
24,4,1998,22
25,4,1998,15
26,4,1998,18
27,4,1998,25
28,4,1998,11
29,4,1998,30
30,4,1998,16
1,5,1998,20
2,5,1998,20
3,5,1998,15
4,5,1998,25
5,5,1998,21
6,5,1998,19
7,5,1998,19
8,5,1998,29
9,5,1998,21
10,5,1998,21
11,5,1998,18
12,5,1998,23
13,5,1998,21
14,5,1998,21
15,5,1998,20
16,5,1998,19
17,5,1998,18
18,5,1998,21
19,5,1998,23
20,5,1998,25
21,5,1998,31
22,5,1998,21
23,5,1998,17
24,5,1998,14
25,5,1998,25
26,5,1998,18
27,5,1998,22
28,5,1998,18
29,5,1998,23
30,5,1998,23
31,5,1998,14
1,6,1998,18
2,6,1998,21
3,6,1998,13
4,6,1998,25
5,6,1998,26
6,6,1998,24
7,6,1998,19
8,6,1998,23
9,6,1998,22
10,6,1998,25
11,6,1998,21
12,6,1998,27
13,6,1998,19
14,6,1998,17
15,6,1998,23
16,6,1998,18
17,6,1998,25
18,6,1998,16
19,6,1998,30
20,6,1998,15
21,6,1998,15
22,6,1998,20
23,6,1998,19
24,6,1998,19
25,6,1998,13
26,6,1998,20
27,6,1998,12
28,6,1998,18
29,6,1998,23
30,6,1998,28
1,7,1998,17
2,7,1998,21
3,7,1998,25
4,7,1998,18
5,7,1998,17
6,7,1998,25
7,7,1998,20
8,7,1998,15
9,7,1998,18
10,7,1998,20
11,7,1998,20
12,7,1998,26
13,7,1998,28
14,7,1998,22
