dd,mm,yy,occurrence
1,1,1961,63
2,1,1961,20
3,1,1961,11
4,1,1961,18
5,1,1961,17
6,1,1961,10
7,1,1961,10
8,1,1961,12
9,1,1961,18
10,1,1961,15
11,1,1961,17
12,1,1961,13
13,1,1961,15
14,1,1961,17
15,1,1961,13
16,1,1961,17
17,1,1961,9
18,1,1961,15
19,1,1961,13
20,1,1961,15
21,1,1961,12
22,1,1961,15
23,1,1961,20
24,1,1961,15
25,1,1961,20
26,1,1961,13
27,1,1961,12
28,1,1961,16
29,1,1961,6
30,1,1961,17
31,1,1961,17
1,2,1961,20
2,2,1961,23
3,2,1961,13
4,2,1961,16
5,2,1961,15
6,2,1961,14
7,2,1961,11
8,2,1961,16
9,2,1961,15
10,2,1961,14
11,2,1961,14
12,2,1961,19
13,2,1961,11
14,2,1961,15
15,2,1961,18
16,2,1961,21
17,2,1961,26
18,2,1961,16
19,2,1961,9
20,2,1961,7
21,2,1961,12
22,2,1961,21
23,2,1961,25
24,2,1961,10
25,2,1961,20
26,2,1961,10
27,2,1961,22
28,2,1961,14
1,3,1961,14
2,3,1961,15
3,3,1961,14
4,3,1961,21
5,3,1961,11
6,3,1961,14
7,3,1961,13
8,3,1961,15
9,3,1961,10
10,3,1961,25
11,3,1961,18
12,3,1961,20
13,3,1961,16
14,3,1961,21
15,3,1961,18
16,3,1961,13
17,3,1961,15
18,3,1961,8
19,3,1961,15
20,3,1961,18
21,3,1961,13
22,3,1961,15
23,3,1961,18
24,3,1961,15
25,3,1961,16
26,3,1961,17
27,3,1961,13
28,3,1961,18
29,3,1961,16
30,3,1961,16
31,3,1961,9
1,4,1961,31
2,4,1961,11
3,4,1961,15
4,4,1961,13
5,4,1961,12
6,4,1961,21
7,4,1961,24
8,4,1961,18
9,4,1961,13
10,4,1961,16
11,4,1961,11
12,4,1961,39
13,4,1961,9
14,4,1961,11
15,4,1961,11
16,4,1961,14
17,4,1961,13
18,4,1961,12
19,4,1961,10
20,4,1961,10
21,4,1961,9
22,4,1961,16
23,4,1961,20
24,4,1961,12
25,4,1961,15
26,4,1961,16
27,4,1961,16
28,4,1961,15
29,4,1961,20
30,4,1961,26
1,5,1961,21
2,5,1961,15
3,5,1961,20
4,5,1961,10
5,5,1961,13
6,5,1961,19
7,5,1961,26
8,5,1961,15
9,5,1961,19
10,5,1961,14
11,5,1961,17
12,5,1961,15
13,5,1961,14
14,5,1961,12
15,5,1961,14
16,5,1961,21
17,5,1961,12
18,5,1961,14
19,5,1961,17
20,5,1961,10
21,5,1961,11
22,5,1961,18
23,5,1961,12
24,5,1961,17
25,5,1961,15
26,5,1961,9
27,5,1961,23
28,5,1961,17
29,5,1961,16
30,5,1961,16
31,5,1961,15
1,6,1961,18
2,6,1961,21
3,6,1961,15
4,6,1961,11
5,6,1961,14
6,6,1961,13
7,6,1961,18
8,6,1961,15
9,6,1961,18
10,6,1961,16
11,6,1961,15
12,6,1961,21
13,6,1961,14
14,6,1961,18
15,6,1961,16
16,6,1961,11
17,6,1961,7
18,6,1961,13
19,6,1961,12
20,6,1961,17
21,6,1961,16
22,6,1961,17
23,6,1961,10
24,6,1961,13
25,6,1961,12
26,6,1961,16
27,6,1961,11
28,6,1961,19
29,6,1961,13
30,6,1961,14
1,7,1961,14
2,7,1961,18
3,7,1961,10
4,7,1961,11
5,7,1961,15
6,7,1961,12
7,7,1961,15
8,7,1961,13
9,7,1961,13
10,7,1961,10
11,7,1961,10
12,7,1961,11
13,7,1961,15
14,7,1961,18
15,7,1961,12
16,7,1961,19
17,7,1961,18
18,7,1961,11
19,7,1961,10
20,7,1961,15
21,7,1961,14
22,7,1961,16
23,7,1961,16
24,7,1961,16
25,7,1961,15
26,7,1961,12
27,7,1961,24
28,7,1961,9
29,7,1961,11
30,7,1961,7
31,7,1961,16
1,8,1961,13
2,8,1961,17
3,8,1961,15
4,8,1961,10
5,8,1961,13
6,8,1961,18
7,8,1961,20
8,8,1961,17
9,8,1961,12
