dd,mm,yy,occurrence
1,1,2001,177
2,1,2001,8
3,1,2001,15
4,1,2001,16
5,1,2001,11
6,1,2001,7
7,1,2001,5
8,1,2001,7
9,1,2001,10
10,1,2001,16
11,1,2001,16
12,1,2001,25
13,1,2001,14
14,1,2001,13
15,1,2001,15
16,1,2001,20
17,1,2001,14
18,1,2001,15
19,1,2001,19
20,1,2001,124
21,1,2001,17
22,1,2001,12
23,1,2001,9
24,1,2001,20
25,1,2001,13
26,1,2001,19
27,1,2001,9
28,1,2001,11
29,1,2001,15
30,1,2001,14
31,1,2001,17
1,2,2001,17
2,2,2001,13
3,2,2001,14
4,2,2001,12
5,2,2001,15
6,2,2001,12
7,2,2001,15
8,2,2001,12
9,2,2001,15
10,2,2001,16
11,2,2001,5
12,2,2001,17
13,2,2001,12
14,2,2001,14
15,2,2001,11
16,2,2001,12
17,2,2001,8
18,2,2001,12
19,2,2001,18
20,2,2001,10
21,2,2001,14
22,2,2001,12
23,2,2001,14
24,2,2001,9
25,2,2001,13
26,2,2001,13
27,2,2001,9
28,2,2001,12
1,3,2001,17
2,3,2001,17
3,3,2001,10
4,3,2001,12
5,3,2001,10
6,3,2001,12
7,3,2001,6
8,3,2001,9
9,3,2001,19
10,3,2001,7
11,3,2001,27
12,3,2001,13
13,3,2001,15
14,3,2001,17
15,3,2001,16
16,3,2001,16
17,3,2001,7
18,3,2001,8
19,3,2001,13
20,3,2001,10
21,3,2001,18
22,3,2001,17
23,3,2001,11
24,3,2001,6
25,3,2001,11
26,3,2001,12
27,3,2001,12
28,3,2001,12
29,3,2001,14
30,3,2001,14
31,3,2001,12
1,4,2001,10
2,4,2001,11
3,4,2001,11
4,4,2001,11
5,4,2001,25
6,4,2001,16
7,4,2001,10
8,4,2001,9
9,4,2001,12
10,4,2001,19
11,4,2001,21
12,4,2001,9
13,4,2001,9
14,4,2001,12
15,4,2001,7
16,4,2001,12
17,4,2001,8
18,4,2001,11
19,4,2001,14
20,4,2001,8
21,4,2001,12
22,4,2001,9
23,4,2001,15
24,4,2001,11
25,4,2001,17
26,4,2001,11
27,4,2001,14
28,4,2001,9
29,4,2001,10
30,4,2001,10
