0.026,12699
0.826,79
0.521,544
0.054,8682
-0.83,4759
0.103,1731
0.327,2719
0.083,24917
-0.60,7472
0.079,1389
0.042,3283
-0.64,32888
-0.61,11773
0.584,1523
0.748,360
0.1,1476
0.074,5140
-0.04,18885
-0.81,8461
0.161,782
0.571,4687
-0.79,3718
-0.86,49553
0.321,902
0.091,1252
0.047,1787
-0.03,31769
-0.07,6927
-0.59,6985
0.025,7478
0.664,1064
0.156,580
-0.53,5572
0.641,1439
0.568,1337
-0.56,9048
-0.55,7995
0.655,5107
0.607,1830
0.043,13773
0.819,4331
0.549,5219
0.061,2221
0.577,4772
-0.96,112
0.049,3611
0.858,444
0.554,3323
0.532,581
-0.69,1800
-0.63,4842
-0.67,2853
0.866,2566
0.26,1913
-0.02,19662
0.695,26
-0.20,4565
-0.78,7705
0.039,3538
-0.51,6763
0.323,2032
0.298,3576
-0.75,4040
-0.30,763
0.534,793
0.613,3264
0.122,2025
0.245,243
-0.05,9467
-0.31,2781
-0.72,4888
0.098,1437
-0.52,10045
0.164,594
0.089,3469
0.059,1175
0.045,1627
-0.58,9760
0.853,697
-0.82,3046
0.59,1428
-0.87,4583
0.875,1259
0.536,1458
0.084,6808
0.07,2001
0.044,8063
-0.92,2866
-0.06,12129
0.542,5030
-0.22,2077
0.564,3410
0.033,5619
0.643,954
0.822,544
0.773,1827
0.579,998
-0.77,3204
0.027,8343
0.603,1770
0.868,406
-0.54,6013
0.031,5379
-0.65,2394
0.66,840
0.147,1340
-0.29,2184
0.658,489
0.566,1204
0.275,700
0.396,1279
-0.80,8561
0.14,261
0.113,2356
-0.26,1376
0.797,1195
0.606,4082
0.055,3363
0.092,925
0.722,345
0.324,381
-0.68,3631
0.136,548
0.596,977
0.123,3514
0.573,786
0.561,2937
0.905,1237
0.023,6193
0.644,384
0.611,336
0.069,2782
-0.09,3938
0.153,1279
0.741,1316
-0.57,9864
0.071,2486
0.304,342
0.064,1021
0.077,5520
0.052,2810
0.317,2071
0.486,1850
0.134,249
0.094,1955
0.726,1314
0.919,288
0.383,225
0.548,197
0.645,2303
-0.19,625
0.04,2795
0.749,258
0.487,3201
-0.76,3848
0.05,6006
-0.13,2670
0.139,459
0.283,48
0.491,2853
0.763,85
0.751,1936
0.597,902
0.024,2497
0.081,977
0.184,423
0.036,5264
