character,occurrence
0,3310470
1,4751113
9,2789963
5,1980363
2,3111118
7,1931471
4,1845579
6,1890023
3,2168714
8,2036375
w,0
y,0
f,0
n,0
i,0
a,0
o,0
t,0
h,0
g,0
e,0
l,0
s,0
B,0
I,0
L,0
Y,0
R,0
A,0
p,0
r,0
v,0
u,0
m,0
c,0
D,0
C,0
d,0
x,0
k,0
z,0
H,0
j,0
M,0
O,0
S,0
E,0
F,0
q,0
X,0
T,0
G,0
N,0
P,0
J,0
W,0
U,0
V,0
Q,0
Z,0
K,0
