lifeline
fossae
chords
nub
groove
indentation
wedge
frustum
connexion
tetrahedron
disk
dodecahedron
sacs
toroid
rhombi
curlsss
conic
ovals
swirl
pellets
asterisms
archs
tesseract
circlet
heptagon
foursquare
perversion
oval
azs
crimp
zigzag
rectangle
dropss
perversions
taper
ovoid
spiral
sags
azsss
hollows
pucker
wrinkle
crevice
square
dogleg
bottlenecks
washout
azimuth
curl
sac
ellipsoid
plume
octagons
pellet
prisms
tori
epicycle
juts
hasss
azss
curls
angles
secant
bottleneck
helix
fringe
parallelepiped
pyramid
gnarls
puckers
clefts
geodesic
cleft
nonagon
gooseneck
rims
node
zags
margins
trapezium
extrusion
hoodoo
turns
flares
tapers
dome
cube
ringlet
prism
toruses
jut
brink
pyramids
convolutions
pore
notches
curve
brachium
flare
fissure
funnel
fissures
polygon
vortex
twirls
scroll
doughnut
az
conoid
humpsss
circle
stamp
arches
dots
hexagram
brinkses
quadric
helixes
hyperbola
bights
capita
azimuths
twirl
hypotenuse
lifelines
verge
annuli
curves
disks
domes
bifurcations
crotch
arch
scallop
fossa
hexagon
bulges
campana
periphery
angularities
dip
bound
funnels
rut
blob
forking
toruss
drop
turn
hollow
dewdrop
scrolls
centerline
spirals
wartss
boluses
rhomboid
caput
rimss
angle
crenel
fossas
moldss
molds
hump
jog
droop
saucer
nubs
rhombs
folds
stamps
torsion
cranny
snag
keel
torus
bend
polyhedron
cuneus
wrinkles
crescent
sag
drops
hasses
join
bulge
mogul
diagonal
zig
rim
zag
mold
bight
blobs
crotchet
warts
sacss
saucers
has
gnarl
trapezoid
toroids
curlssss
ruts
uncus
annulus
fold
camber
triangle
dips
whorl
ellipse
tangents
humps
cubes
wart
octahedra
brinks
nodes
teardrop
droops
perimeter
azes
parabola
zigzags
hoodoos
hass
dot
roulette
joins
snagss
ha
tangent
cylinder
scallops
annuluses
bolus
curvess
swirls
nubble
quadrate
convolution
sector
pentacle
rhombus
jogs
chord
entasis
dewdrops
plumes
rhomb
oblong
pentagram
doughnuts
spheroid
margin
squares
keels
trigon
octagon
grooves
notch
verges
decagon
tetragon
moguls
crinkle
crease
zigs
teardrops
incision
gyre
angularity
wedges
whorls
scotch
circles
