animals
creature
mortal
mortals
artifact
space
beastsss
someones
creatures
beasts
cognition
entity
substance
groupings
artefact
individual
motive
location
group
bionts
quantity
person
beast
spacess
food
infinite
animalss
biont
event
foods
organism
artefacts
somebody
relation
events
motivation
entitys
knowledge
animal
someone
beastss
groups
noesis
phenomena
persons
feeling
motives
objects
spaces
phenomenon
object
